"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
-0.6846,-0.7897,-0.0332,0.2136,-0.0574,-0.4444,-0.7354,0.0794,0.1596,0.9896,0.6087,0.8583,0.564,1.2297,0.5206,1.8106,0.7474,1.3254,1.2351,-0.4797,0.8647,0.6534,1.3725,2.3608,-0.8859,-1.2843,0.2356,-0.3981,0.7671,0.099,1.3253,0.5767,-1.0487,0.6135,-0.1964,-0.6293,-0.1753,-1.3004,0.1949,-0.4675,-1.4125,0.2932,0.108,0.2923,-1.1381,-0.1837,-1.8437,1.342,1.1287
-0.379,-1.0417,-0.4944,-0.0072,-0.0761,-0.9244,-1.1348,-0.9403,-0.1335,0.6365,1.0804,0.7219,0.4543,0.1736,0.5382,0.7241,0.4788,0.1598,0.0064,-0.8244,-0.8791,-1.1231,1.267,-0.0072,-1.0198,-1.1157,-0.0432,0.888,0.1105,0.5229,1.5013,0.8328,1.0609,1.1422,0.3221,-1.183,0.5919,-1.2482,-1.5828,-0.8937,-0.2655,-0.3991,-0.2506,-1.8541,-0.038,-0.5042,-1.8883,0.0871,1.4263
-0.8279,-1.2441,-0.6148,-0.4106,0.0436,-0.8113,-1.1183,-0.4246,-0.4336,-0.2963,0.4819,-0.1545,0.6937,-0.051,0.1856,-0.0334,-0.749,0.4383,-0.2049,-1.1639,-0.9957,-0.8057,0.0452,-1.0342,-0.1632,-1.7724,-0.8284,0.7068,-0.3303,1.0395,0.0141,0.9834,-0.201,-0.6882,-0.5211,-1.0571,-0.2149,-1.4456,-1.7762,-0.6467,-0.4387,-0.3536,-0.6212,-1.1979,-0.2911,-0.3756,-1.2555,0.3231,0.6923
-0.3884,0.0573,-0.4884,-0.95,0.5538,-0.5532,-0.8005,-0.833,0.6315,-0.3946,0.4317,-0.2549,0.4867,-0.8789,-0.4096,-1.1669,-0.6205,0.1499,-0.7288,0.3056,-1.5548,-0.9992,0.576,-0.9473,0.1417,-0.3355,-1.4263,0.6539,-0.6524,1.2653,-0.7201,1.0733,0.6717,-0.5976,-0.1955,-0.653,0.3618,-0.7431,-0.7178,-1.7365,-0.326,-0.3016,-0.8004,-1.6417,0.2831,0.1565,-0.1443,0.0606,0.8663
-0.5677,1.2646,-0.1379,-0.8187,0.4907,-0.6443,-0.5949,-0.0318,0.0512,0.4704,-0.906,-0.0925,0.1126,-1.1795,0.1549,-0.9247,-1.0512,0.7567,-0.6979,0.1068,-1.0082,0.1339,0.4508,0.1876,1.3334,-0.19,-1.5611,-0.9046,-0.5895,0.9297,-1.0722,1.2904,-0.2056,-0.9958,-1.1603,-0.4287,-0.0539,-0.5462,-0.5501,-1.6426,0.1658,0.6647,-1.1073,-0.0975,-0.5172,0.4812,1.35,0.45,0.9609
-0.6272,1.3152,-0.4964,-0.4488,0.3879,0.1399,-0.2741,-0.6365,0.599,-0.0824,0.2332,-0.3413,0.5127,-0.9794,-0.0734,-0.6557,-1.16,0.2962,-0.9516,1.1895,-1.1708,0.1578,0.3567,-0.6623,0.1882,0.136,-0.3454,0.2352,-1.1136,0.2793,-0.9479,1,1.0685,-0.5279,-0.6009,1.037,-0.1729,-0.0085,-0.2607,-1.4638,1.4194,0.4211,-0.6742,-1.3814,1.6956,-0.6639,-0.662,0.5908,0.0225
-0.3979,0.9633,-0.4954,-0.0606,0.5866,0.0039,-0.8296,-0.5214,-0.2207,-0.6885,-0.1505,-0.2436,0.442,-0.7566,-0.2027,-0.9676,-1.2924,0.305,-1.0114,1.1236,-1.0003,0.3379,0.2511,0.0954,1.1432,0.7187,-0.7735,0.1306,-1.1665,-0.1506,-0.2044,0.8336,-0.1364,-0.7605,-1.0813,0.8894,-1.3757,-0.2096,-0.5199,-1.5537,1.6291,0.3307,-0.0144,0.0163,0.4068,-0.0957,0.9132,0.478,0.4876
-0.2775,0.9031,-0.2279,-0.6191,0.6718,0.2257,-0.2012,-0.8767,0.2581,-0.119,-0.2475,0.14,0.7574,-0.8795,-0.649,-0.7839,-0.7412,0.4478,-0.9931,1.3449,-1.2106,0.7214,0.2264,0.0139,1.1452,0.0272,-0.628,0.3955,-1.1905,0.8128,-0.7896,0.7325,0.1224,-0.4576,-1.2248,0.7351,-0.4364,-0.0679,-0.0068,-1.4763,0.5169,0.8068,-0.3913,-0.4457,0.4372,-0.6789,0.5615,0.0627,0.6158
0.0101,1.0919,0.1589,-0.7035,0.0765,-0.3652,-0.6131,-0.3236,-0.1336,-1.006,-0.2099,0.3101,-0.5742,-1.1267,-0.7131,-1.3186,0.2721,1.1758,-0.8091,1.0914,-0.0917,1.485,0.3044,0.3986,1.4233,0.0644,-1.4129,-0.5691,-0.7476,0.1197,-0.2715,0.169,-0.5033,-1.111,-0.7382,0.6201,-0.4258,0.2688,0.9144,-0.9507,0.5476,1.1383,-0.7696,0.6326,0.1019,0.3554,1.5407,0.0331,0.5759
0.0301,-0.2299,-0.6675,-0.5256,-1.0355,-0.247,0.0665,-0.2292,0.2144,-0.7273,0.1365,-0.3484,0.1951,-0.3166,-1.2996,-0.648,0.408,0.075,-0.4684,0.3716,0.4023,0.4603,-1.1861,-0.5529,-0.475,-0.7474,0.6028,0.5427,-0.3667,0.7008,-0.434,-1.7782,-0.0405,-0.6761,-0.4237,0.8821,0.4846,0.314,1.7879,0.1114,-0.053,0.6396,-0.76,-0.3994,-0.4268,-0.9201,0.2095,-0.6935,0.1185
-0.263,-0.8027,0.5448,0.1772,-0.8206,-0.1139,-0.7447,0.2062,-0.1465,-1.1834,-0.3875,-0.2294,-0.7124,-0.5896,0.3798,-0.591,0.0903,0.3338,0.3474,-1.2855,0.6912,0.3452,-0.6064,-0.267,-0.156,-0.354,-0.2114,-0.2246,-0.2403,0.5812,-1.3852,-0.0541,-0.7177,-0.3969,0.2909,0.1733,-0.1948,0.1337,2.3191,1.4379,-0.6118,0.1158,-0.4895,1.2302,-0.061,0.5767,1.7952,-1.0415,0.437
-0.0821,-1.4633,0.5007,0.167,-0.6141,-0.2244,-0.2983,0.5993,0.3649,-0.8027,0.252,-0.0765,-0.2552,0.3619,-0.3207,-0.1006,-0.1046,-0.7741,0.6792,-1.4481,0.8645,-0.535,-0.6839,-0.7776,-1.0662,0.4616,1.2911,-0.0003,0.1101,0.3334,-0.3795,-1.5539,-0.3756,-0.0867,0.7902,-0.8114,0.18,0.7361,1.5194,1.1015,-0.6716,-1.1663,-0.6942,0.8884,-1.4294,-0.5205,0.0339,-1.752,0.57
0.3938,0.0634,1.2327,0.7241,-0.3475,0.5622,-0.7552,0.559,-0.0687,-0.7747,0.5706,0.1438,-0.0705,0.372,-0.2914,-0.3831,0.1054,-1.1134,0.7499,-0.8973,1.7378,-0.3058,-0.1226,-0.3361,-1.2297,1.4525,-0.0551,-0.5574,0.983,-0.2252,0.5543,-1.3609,-0.3611,-0.8589,1.4742,-1.5338,-0.2354,0.2345,0.2754,1.8765,-0.804,-1.0734,-0.912,1.7417,-0.4913,0.4456,0.1832,-1.008,0.7184
0.2225,-0.5108,2.1491,-0.3847,0.2393,0.528,-0.1012,-0.071,0.0704,0.5104,0.7591,0.4393,0.5143,1.1767,-0.0415,0.3546,0.2956,-1.2126,0.6442,-0.4292,1.0452,-0.1027,-0.831,1.2496,-0.7952,0.107,-0.0452,-0.2168,1.6126,-0.6468,0.702,-1.3486,-0.6097,-0.5355,1.5868,-1.0154,0.1488,0.1844,0.6267,0.6314,-1.2423,-0.7495,-0.728,0.6349,-0.4518,-0.6156,-1.0594,-0.7915,-0.2008
0.3312,0.6557,2.5164,0.4065,-0.2542,0.0426,-0.1332,-0.0337,-0.1651,-0.8423,0.8191,0.2655,-0.8002,1.9174,0.3543,-0.4808,1.3688,-0.1253,0.4735,-0.8492,2.31,0.7174,-0.0505,0.2736,0.0273,0.5747,0.175,-0.9455,1.7109,-1.1948,0.7775,-0.2343,0.1885,-0.7974,1.8056,-0.2982,-0.1204,-0.9065,0.881,1.907,-1.5809,0.6102,-1.1005,0.9592,0.8248,-0.2399,-0.0304,0.7137,-0.3593
0.1301,-0.4722,0.9611,0.4067,-0.5076,1.6409,-0.0207,-0.4129,-0.4765,0.3881,-0.148,0.3878,-0.2696,1.6776,-0.5036,0.5845,0.8754,-0.0295,0.4691,-0.7086,1.7598,0.1044,-1.1671,1.4636,-0.6652,-0.4827,1.194,-0.696,0.9884,-0.0344,0.9544,-1.1025,0.1597,-0.7809,0.6971,-0.1549,-0.2583,0.0872,1.2001,1.4319,-0.5635,0.3925,0.4048,-0.02,-0.8706,-0.4661,-1.2444,0.5054,-1.108
