"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
1.0802,2.1185,0.2364,2.0119,0.9999,1.3668,-0.788,1.8347,1.9547,-1.0398,0.7515,0.4129,1.0295,1.5046,1.5378,0.0273,2.6114,-0.271,1.0145,2.467,-0.0957,-0.1539,1.1107,-0.2155,1.0311,3.6946,1.5856,2.1838,1.7602,0.485,1.3632,1.4121,1.5688,1.497,1.1606,0.2189,-0.1536,2.3154,0.8482,0.2644,0.967,-0.6937,0.6637,1.4937,0.3908,1.2457,0.1399,1.3155,1.9555
0.1061,1.67,0.1965,0.5806,0.5649,1.1378,-0.9636,1.6677,0.7343,-0.081,0.2339,0.089,1.3672,1.4823,1.0444,0.8392,1.6633,0.5612,1.1274,0.1314,0.86,0.9579,1.1116,0.0933,1.4646,1.6001,2.3323,1.1111,1.7294,0.1882,0.3085,0.6124,1.965,1.0177,1.7364,0.9372,0.7408,2.1889,1.4733,0.439,1.5166,0.1608,0.4274,0.8953,1.5052,1.1003,0.6786,1.7669,0.4804
-0.3142,0.9766,-1.4953,-1.265,-0.1031,0.518,-0.1453,1.037,0.674,1.094,0.4188,0.2497,-0.507,0.0246,-0.0406,0.0209,0.8629,-0.5825,0.6905,-0.0611,-0.1914,0.3458,0.3618,-0.6008,0.6331,0.8203,-0.7128,-0.4526,0.8514,-0.3173,0.3362,0.1513,1.7024,0.8815,0.9049,-0.0994,1.6322,1.0253,0.3612,-0.4722,0.8651,-1.6207,1.1871,-1.6158,0.0011,-0.3316,-0.6619,0.9563,-0.0215
-0.2013,-0.4846,-1.177,-0.1021,-0.2526,-0.31,-2.3082,0.9023,1.286,-1.3439,-0.6528,-1.1159,-1.7613,0.2562,-1.0697,-1.0664,1.6546,-1.4045,0.6458,-0.0701,0.6258,0.1691,0.1194,-0.5459,-0.5982,0.0887,-1.4629,0.0607,0.4543,-2.1878,0.577,0.4023,0.9481,0.0885,1.0833,-1.5045,1.2978,-1.4258,-0.6256,-1.0031,1.1981,-1.5631,-0.6134,-0.4339,-0.8726,-0.9333,-0.9923,0.5463,-0.7934
0.3828,0.2966,-0.4984,0.383,-0.2936,-0.288,-2.2404,1.176,-0.1588,-0.3764,0.0195,-1.4512,-0.8262,0.7039,-1.449,-0.9455,0.3995,-0.7526,0.2037,0.108,0.542,-0.1277,-0.7891,2.3495,-0.7113,0.965,0.0052,0.1651,0.4703,-0.8303,1.3925,-0.1412,-0.1838,-0.0889,2.0701,-0.7516,1.2084,-0.7061,-0.7326,-0.2717,0.2387,-0.6027,-1.2412,0.1291,0.831,-1.5389,-0.7982,1.1612,-0.1616
1.0788,0.1195,-0.7335,-0.7161,0.5152,0.2196,0.6516,1.1432,1.2436,3.9879,0.9498,0.8445,-1.1563,0.355,-1.4277,-0.1119,0.1515,0.1317,0.8846,0.8828,-1.6099,-0.7423,-0.0643,1.6293,-0.6643,1.2164,-2.3145,-1.0462,0.5879,-0.4206,0.3473,0.3551,0.1302,0.7834,1.0375,-1.8874,0.674,1.2727,0.1103,0.0416,0.3978,-1.2692,0.0854,-0.1765,-1.376,-0.7793,1.592,0.8046,0.9396
0.6178,0.1469,-1.9339,-1.0842,0.1352,-0.7757,-0.7005,0.51,2.3494,0.267,-0.1401,0.4865,-1.438,-0.2112,-0.5979,-0.5126,-0.5669,-0.5292,0.7057,1.3579,-0.2826,-1.323,1.2032,0.849,-1.0077,0.5556,-1.3708,0.1383,1.1044,-0.617,0.3692,1.3959,0.3261,1.4241,-0.0745,-2.7351,1.7596,-0.3822,-0.75,-0.6331,0.4389,-1.6621,0.2493,0.1717,-1.2517,0.4807,0.7057,0.3937,0.3779
0.1121,0.3909,-0.9092,-0.3341,-0.8379,-2.2393,-1.4699,0.1836,0.5846,-0.5392,-0.0826,-1.5273,-0.6306,-0.0438,-1.1225,0.3301,-1.4589,-0.0268,0.3884,0.0775,0.5695,0.2081,0.9905,1.2629,-1.2154,-0.1898,0.8515,0.2396,0.8124,0.0514,1.2951,0.7666,-1.0249,0.5499,0.4219,-0.8963,0.8261,-1.1765,-0.3285,-0.85,0.3995,0.3137,-0.3927,-0.6089,0.8107,-0.1138,0.0138,0.9872,-0.5852
0.2509,-0.3455,-0.436,0.3623,-0.5148,-1.3364,0.1502,0.7769,-0.2696,0.9096,-0.073,0.0243,-0.5649,-1.0598,-1.2452,1.2886,-0.7521,0.1878,0.9416,-0.6515,0.1071,0.6538,0.1293,-1.614,-0.5948,-0.1628,-1.2488,-0.6636,-0.1617,-1.0609,0.9262,-0.4604,1.4011,0.0631,0.5537,-0.4299,0.0642,-1.7761,-0.357,-0.1111,0.8974,-0.191,-0.4818,-0.4352,-0.4581,-0.7279,1.1146,0.6167,-0.6078
0.4879,-0.7356,-0.091,0.743,0.2278,-0.0892,-0.676,0.9516,0.4842,-0.368,-0.8966,0.2519,-0.6253,0.2306,-1.023,0.5527,-0.0921,-0.6757,1.0066,1.0535,0.1521,-1.2937,-1.4144,-1.3993,-0.9488,0.4292,-0.3148,0.7082,0.4905,-0.2536,0.5104,-0.746,0.2152,0.6184,0.252,-0.9674,0.3524,-0.8911,-1.0213,-0.655,-0.6908,-0.0749,-0.6268,-0.2097,-0.8193,-0.7907,-0.2365,-0.0696,0.4872
