"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
0.6599,1.1204,-1.2036,-1.062,-0.1374,1.2035,0.8347,2.3318,0.1741,1.2114,-0.2015,-1.0249,-0.0905,0.8844,-1.2541,0.7975,1.9568,1.2611,-0.043,0.3015,0.27,0.0497,-0.001,-0.1612,1.9015,-0.2971,-1.6313,-0.1828,-0.1218,1.5294,-0.5085,0.4861,0.0956,0.079,0.0482,-0.0091,0.0054,1.0188,1.559,-0.1158,1.8052,2.2609,2.5832,1.0733,-0.4332,0.0856,0.426,-0.6347,0.9203
0.1019,0.6261,-0.9918,-1.4374,0.0694,1.0104,0.9192,0.1611,1.4354,1.3353,0.5188,-0.3504,0.1534,0.942,-1.0664,0.506,0.0631,-0.5805,-0.7364,0.0228,-0.1397,-1.6007,0.013,0.3592,1.2892,0.411,-0.8549,1.0018,-0.1107,1.4321,-0.2123,0.7306,0.8778,0.4513,-0.5608,0.8078,1.4602,0.8655,1.197,0.3072,0.786,-0.6752,1.8008,0.7421,-0.6391,0.2453,-0.159,-0.8463,1.1776
0.591,0.2951,-0.5126,-1.3051,-0.4794,0.3917,1.3019,0.0938,0.7381,1.8463,1.0861,1.1479,-0.517,0.0696,-0.5149,0.0987,-0.8192,-1.2554,-0.6833,-0.5374,0.0182,-1.0713,0.7631,0.5962,0.2103,0.1425,-0.4102,0.1899,0.3971,0.3289,0.6866,-0.303,0.9593,0.4162,-0.5479,0.5091,0.0132,0.5712,0.9875,0.7517,0.5105,-0.6847,0.8933,0.9133,-0.1587,0.5172,-0.0789,-0.3922,0.9196
0.0698,-0.6641,-1.337,0.0817,-1.0386,1.5825,-0.328,-0.7397,1.0922,0.5184,0.7187,-0.347,0.6573,-0.3092,-1.693,-0.0632,0.4636,-1.8626,-0.0683,0.3131,-0.4317,-2.5174,0.8279,-0.3626,-0.7424,-0.5546,-0.0808,-0.3018,0.4801,1.9628,1.2527,0.0476,-1.3088,0.5201,0.5142,-1.4951,0.7481,0.4456,0.3184,-0.5492,0.1515,0.3809,0.6023,-0.4433,-0.4781,-0.118,-1.1137,-0.4972,-0.2374
-0.0661,-0.9903,0.0122,-0.923,-0.3261,0.4088,-0.6181,0.1419,1.0153,0.7257,0.4918,-0.3055,0.4494,-0.7364,-0.5346,-1.1097,0.1712,-0.2647,0.8983,-0.386,-0.2054,-1.4035,-0.0375,0.0418,-0.9049,-0.7451,0.583,0.292,0.3146,0.0693,0.6019,0.5313,-0.1867,-0.009,-0.1901,0.0798,0.296,0.0267,-0.1929,0.4264,-0.3656,-0.1909,0.3991,-0.7873,-0.2991,-0.9941,-1.2175,-0.3776,-0.3419
0.4545,-0.5513,0.4015,-1.2924,0.9331,-0.0093,-1.5894,0.1956,0.5425,0.2914,0.6496,0.4157,-1.0267,0.2531,-0.6346,-1.8756,-1.1361,-0.0381,0.252,0.0344,-0.7296,0.3684,-0.4178,0.0453,-0.3063,0.8561,1.2082,1.2481,0.7283,-0.9846,0.1948,0.4398,1.508,0.7234,-0.74,1.2128,-0.3795,0.3696,0.2403,-0.4836,-0.0969,-1.3302,0.2513,-0.4688,-0.2256,0.596,-0.791,-0.8939,-0.1781
0.5462,0.5689,1.7471,0.9952,-0.0521,0.722,-0.4199,0.7972,-0.0195,-0.3234,0.9237,0.7428,-1.0944,0.5363,1.5297,0.8045,0.9626,-0.4636,0.8907,-1.0264,1.1048,2.9615,-0.3829,0.2848,0.6649,0.483,0.1174,-0.242,0.9128,-0.1391,-0.5595,1.0966,2.0695,0.5296,-0.3928,0.0607,-1.1497,1.4193,0.7107,1.8422,0.5667,0.1022,-0.282,0.6567,0.2095,0.5356,1.0282,0.1108,-0.9026
-0.7006,0.0226,2.0752,0.7599,1.2421,-0.6249,-0.2252,-0.6699,0.379,-0.3295,0.5238,-0.8067,-0.6692,1.2728,0.1776,0.5059,0.3509,-0.3561,1.364,-0.6845,1.0725,1.4323,0.7752,-0.8435,-0.4078,0.2769,1.5477,0.5771,1.1236,0.4373,0.0986,-0.2634,-0.046,1.0495,1.7135,-0.6764,0.882,-0.2484,0.0953,1.4315,1.1391,-0.2434,-0.316,-0.0145,0.3971,0.5938,-0.5694,1.1212,-0.8668
-0.1862,-1.048,0.7362,0.9675,-0.8373,-0.3885,1.5274,0.4328,-0.0088,0.3576,0.4325,-0.3036,0.0923,0.1878,-0.811,0.1591,-1.817,0.1958,1.4774,-1.0252,0.9317,0.153,-0.0188,-0.2009,-0.7222,0.5693,0.6966,0.8603,0.9641,-1.3426,0.5882,-1.2891,-0.0903,0.1459,1.2191,-2.2368,1.3552,-0.363,-1.4886,0.4292,-0.1224,-0.4271,-0.6868,-0.1414,0.2614,-1.256,-0.5891,0.7936,0.3672
1.013,-0.8329,-0.1401,0.0636,0.3196,-2.6614,-0.181,0.6272,0.0121,-0.5525,0.1488,-0.0809,-0.8234,-0.4579,0.2693,-1.4203,0.2229,-0.0502,0.0815,-0.4508,1.0238,0.018,1.2105,-0.6353,-1.2306,1.0308,1.5442,0.5795,0.9351,-1.3372,1.3037,-0.5615,-1.6733,0.202,1.5521,-1.2176,1.2562,-1.6648,-1.4468,0.1143,-0.5079,-0.1938,-1.3866,-0.4029,0.0853,-0.1393,-0.4185,0.7108,-0.148
