"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
-0.6917,-0.0783,-1.292,-0.3368,-0.4222,2.3671,-0.6306,0.7365,0.623,0.9227,-0.1954,0.1713,-0.3194,0.299,-0.442,0.3026,-0.7887,-0.3658,0.1148,1.3896,-0.7409,-0.4203,1.7984,1.0354,-1.0954,-0.8523,0.63,0.2015,0.5924,0.8528,-0.6799,1.0127,1.4168,0.1843,0.6845,-0.4814,0.859,-0.3547,0.0698,-0.0055,-0.4619,0.4546,-0.4377,-0.6575,0.7321,0.2959,-2.3108,-0.0899,-0.5658
0.0019,-0.3473,-0.5746,-0.2975,-0.1074,1.3811,0.5902,0.4135,1.3048,2.0011,0.362,1.0858,-0.4805,0.9241,0.0802,-0.923,-0.2533,1.4725,0.2361,1.5249,-0.6418,0.3494,1.0022,-0.4812,0.1002,-0.4736,-0.1228,-0.2874,-0.161,-0.1514,0.3236,1.2004,0.4039,0.5254,0.4334,-0.0903,-0.8315,0.7508,-0.4027,-0.1719,0.529,-0.103,-0.0143,0.3286,-0.0907,0.4281,-0.6259,-0.1065,-0.3527
-0.6179,-0.5924,-0.0252,-0.2946,-1.5071,0.4534,0.5354,0.7394,1.4535,-0.2082,-0.628,0.4073,0.0629,1.1391,-0.3915,0.1012,2.0118,1.9932,0.259,1.1572,0.4964,1.0538,0.2439,-0.4311,1.3158,-1.5424,0.4442,-0.0322,-0.1795,-0.5354,-0.2418,0.9119,0.4919,0.198,0.9246,0.2222,-0.6288,-0.1695,-0.4538,-0.3713,0.1043,1.9304,-0.7794,0.3931,-0.1333,-1.1327,-0.6965,0.0897,-2.0341
-0.6946,0.011,-0.1168,-0.0067,-0.6387,0.8025,0.9497,1.5273,1.2678,0.8128,-0.8796,-0.2837,0.2025,0.9687,-0.5062,0.418,0.9033,1.4833,1.3867,1.3694,-0.9225,-0.2359,0.702,-0.0353,0.5485,0.4548,0.357,0.5538,-0.6379,0.077,0.5379,0.265,0.1657,0.3765,0.8348,0.6115,-0.1932,-0.148,-0.4483,-0.1212,-0.1121,0.6291,-0.1581,0.2096,-0.7027,-0.3641,-0.2264,0.4117,-1.2826
0.5946,0.8793,0.393,-0.0472,-0.0529,0.9418,1.1148,-0.0631,0.3443,0.7864,0.2989,0.3799,-0.3434,0.9387,0.1788,-0.1476,0.0287,1.751,0.7041,0.8965,0.032,0.0785,-0.3427,-0.6382,0.1562,0.5429,-0.6985,-0.3508,-0.212,-0.3853,1.4072,0.0725,-1.0095,0.4409,-0.1124,-0.0133,-0.7881,0.7243,-0.7419,0.7826,0.6609,-0.2048,0.3831,-0.1402,-0.9852,-0.0691,0.5746,0.1487,0.1828
0.1664,0.669,0.1992,0.3916,0.3797,1.4228,-0.3943,0.3927,0.707,-0.4963,-0.4745,0.7499,0.3408,0.1726,0.0303,1.1595,0.723,0.6319,0.1445,0.3271,0.304,-0.0494,-0.4226,-0.3035,0.0487,-0.1715,-0.6254,-0.091,0.2133,0.3894,1.0748,0.6079,-0.2412,0.8614,-0.3728,-0.2451,-0.3822,-0.2771,-0.7727,0.7596,0.5723,-0.0838,-0.1517,-0.003,-0.5476,-0.2018,0.1737,-0.0859,-0.3015
-0.0498,0.3844,0.4376,0.4397,0.6064,-1.4283,0.4669,-0.8,0.0611,0.3075,-0.646,0.946,0.1962,1.1594,0.121,0.7271,0.0411,-0.5164,2.1845,0.6998,-1.5271,-0.6165,-1.386,-0.0768,-1.1767,0.5632,-0.4205,0.0392,0.6684,0.0459,1.824,0.04,0.0449,1.0007,-1.327,0.1071,0.0176,-0.2545,-0.2058,0.8429,0.2089,-0.8152,0.4338,-0.1683,-1.567,0.155,0.3626,-0.1236,-0.2142
0.669,0.3862,1.1885,0.2577,0.5047,-2.2065,0.5313,-1.1267,-0.4992,-0.6803,-0.2066,0.9046,0.4749,0.3465,-0.2083,0.2577,0.4809,-0.5784,2.3062,0.3434,-1.6164,-0.1056,-2.4073,0.2537,-1.2678,-0.4137,-0.4076,-0.3301,0.2914,-0.4041,2.4582,-1.7849,-0.8266,0.7932,-1.5386,0.7991,-0.1299,-0.3697,0.3206,0.5336,-0.0968,-0.5249,0.3174,-0.8446,-1.1092,0.0662,1.1136,-0.613,-0.5719
-0.0606,0.2005,0.9137,0.5514,-0.3556,-0.562,-0.5397,-0.166,0.3572,-0.8209,-0.4051,0.493,1.001,-0.7111,-0.1282,1.1047,0.721,-1.1138,0.1819,-0.4686,-1.1432,-0.1563,-0.1757,0.4801,-0.1626,-0.648,-0.4154,0.1554,-0.1898,0.3337,1.6344,-0.7791,-0.0711,0.3558,-0.887,0.8494,-0.0359,-0.9327,-0.0581,-0.0321,-0.2354,-0.858,-0.0882,-0.3353,0.4834,0.4816,0.7337,-0.4888,-1.0385
-0.1321,-0.0414,0.5234,0.4961,-0.8849,-0.747,0.1792,-0.2227,-0.3954,0.9603,0.5365,-0.7585,0.3951,0.147,0.5361,-0.5149,-0.0164,-0.2108,0.4409,-0.1323,-0.3911,-0.1462,-0.2853,0.5673,-0.2003,0.2157,-0.0173,0.6271,-0.0751,0.0195,0.1061,-0.2655,0.209,0.3817,-0.3876,1.1641,0.164,-0.1142,-0.0357,0.3906,0.1718,-0.2593,0.3309,-0.0981,-0.1625,-0.6208,-0.4308,0.6228,-0.009
0.4884,0.0584,0.07,0.0386,-0.5042,-1.1815,-0.3851,-0.6486,-1.0747,0.6267,0.6979,-0.1872,-0.416,0.5983,0.339,-1.0356,-0.0646,0.9623,-1.474,-0.2851,0.8971,0.7706,-0.2919,0.9488,-0.0543,-0.0762,0.3244,-0.4861,-0.2629,-0.0565,-0.2513,-0.807,-1.166,0.0876,0.6795,-0.0592,0.1245,0.7215,0.2314,-0.0468,0.5952,0.186,0.1638,0.2733,0.3473,0.0803,0.7742,1.1422,0.8886
0.0167,-0.0062,0.4615,0.3885,-0.2305,-1.1285,-0.8934,-0.1553,-0.5572,-0.5206,-0.4118,0.0371,0.1009,0.2686,0.0967,-0.1496,-0.0289,0.4391,-1.3571,-1.551,1.2632,0.0157,0.5825,0.6893,0.0851,-0.7919,0.3984,0.0456,-0.1077,-0.017,-0.4242,-0.071,-0.7813,-0.2519,0.238,-0.418,0.6551,0.0269,-0.0205,-0.0678,-0.0508,-0.1584,-1.0613,0.7309,0.4038,0.2437,0.8283,0.5794,0.0652
1.251,0.4898,0.6035,0.6573,-0.183,-0.8238,-0.3266,0.2924,-1.329,-0.2818,0.5451,-0.5213,0.9651,0.1112,0.3106,0.1448,-1.2748,-1.1884,-0.6983,-1.401,0.6365,-1.252,-0.1081,-0.3243,-0.5449,0.4941,-0.3193,1.309,0.9688,0.5652,-0.1649,-0.3237,-1.1527,0.0835,-0.0839,0.0736,0.3621,0.2492,0.4448,0.7017,-0.2824,-1.083,0.0519,0.9467,-0.6611,-0.2791,0.8497,0.5033,-0.1555
1.0456,0.4799,0.9152,0.6917,-0.8995,-1.1166,-0.8043,-0.0625,-1.4839,-0.6117,1.1213,-1.1737,0.377,0.6669,0.3834,0.0638,-1.5906,-0.5381,-1.1594,-2.9266,0.5055,-0.7047,0.6218,-0.9011,0.0009,-1.0247,-0.8275,0.7184,1.4189,0.4848,0.8731,-0.3948,-1.3596,-1.0145,-0.0488,0.1966,-0.4391,1.1375,0.7126,0.7284,0.1593,-0.4734,0.1014,1.2807,-1.2707,-0.5419,0.1801,0.5778,-0.1441
