"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
-0.0434,0.1088,-1.2502,-0.1349,-1.1378,-0.1513,-0.4869,-0.9617,1.3855,-0.672,0.1965,0.6346,-0.9597,0.0361,-0.9525,-0.1173,-0.0782,-0.0451,0.3937,1.3259,1.0041,-1.196,-0.0689,0.4151,-0.4713,0.0035,0.817,-0.4852,1.0025,-0.6369,0.1909,0.1816,-0.0728,1.0818,1.1115,-1.7326,1.481,-0.582,-0.2089,0.2596,-0.0431,-0.9143,0.1761,-1.1741,-0.5605,-0.4067,-0.3967,0.3333,0.3446
-0.2703,0.2712,-0.6234,-0.8609,-1.0906,0.0735,-0.1685,-0.8038,0.7666,0.3412,-0.5101,0.8375,-1.0239,-0.1147,-1.3457,-0.4921,0.4922,0.2907,-0.2283,0.2302,0.3671,-0.3988,-0.382,-0.6824,0.004,-0.0658,0.8116,-0.8579,-0.0871,-1.0483,-0.4695,-0.0952,-0.0274,-0.0222,0.7157,-1.4507,0.3455,0.1985,0.4472,0.1775,0.3171,-0.3136,0.0634,-0.9933,0.3493,0.1235,0.2522,0.5349,0.7682
-1.2933,0.2871,-0.7189,-1.0784,-1.4269,0.8956,-0.9342,-0.7812,-0.1832,-1.1308,-1.2359,0.0371,-1.1521,-0.4407,-1.827,-0.6915,0.7471,-0.1212,-0.7733,0.1788,0.2716,-0.6633,-0.6639,-1.2739,0.1317,-0.4189,0.964,-0.5614,-0.9801,-1.7271,-0.7998,0.3305,-0.4685,-0.9066,0.2558,-1.5332,0.521,0.4406,0.4165,0.4089,1.0286,0.2034,-0.6818,-0.946,0.3985,-0.9493,-0.1535,0.4715,-0.1879
-1.2109,1.0008,0.3535,-0.8718,-0.3619,-0.0051,-0.4651,-0.3156,0.3662,-0.9888,-0.8464,1.5263,-1.016,0.2699,-0.9617,-0.779,0.7758,0.0212,-0.8105,1.2815,0.3482,-0.8637,0.1926,-0.5833,0.4433,1.0187,0.7875,-0.5681,-0.5434,-1.5663,-0.0596,1.1526,0.2719,0.3435,0.5982,-0.5733,-0.1767,0.8558,0.3129,0.8561,0.3682,0.7617,0.1601,-0.6287,0.9655,0.2849,-1.3406,0.5029,0.0066
0.0269,0.6386,0.9994,0.1419,1.1372,1.1555,-0.3171,-1.5183,3.0127,-2.6754,-1.0116,0.7013,-0.5346,1.0885,0.0524,-0.5954,1.3169,1.6645,1.7495,2.9342,-2.2664,-1.4396,3.0672,0.7039,0.7872,2.9735,1.5109,0.9869,-0.4268,-0.6549,0.32,2.8843,-1.1981,0.9681,1.5669,0.4756,2.1171,0.276,1.2679,0.3213,1.2017,-0.9544,0.6105,-0.8064,0.6032,0.5857,0.182,2.0782,-0.373
-0.4108,1.618,0.0036,0.9134,1.0091,-0.3356,-2.3675,-1.1913,0.6659,-2.0753,0.6774,-0.5979,-0.7866,0.1028,0.2164,-0.7364,0.4237,-0.6487,0.0669,1.5122,-1.7444,-2.2891,1.7721,-1.0972,0.0027,3.0692,-0.3615,0.6927,0.0594,0.6774,-0.0884,1.9706,-1.3937,0.2463,1.6808,-0.0072,0.4323,0.9073,0.5494,-0.7766,1.6455,-1.7619,2.4285,-1.7565,0.5333,1.9468,0.5115,0.1426,-0.9487
1.6781,1.1174,1.4664,1.7085,2.4864,-0.6107,0.452,-0.7007,0.4552,2.6844,2.0791,-0.0683,-0.0276,-0.1422,1.5399,-0.272,1.1458,1.6304,0.688,0.5721,1.3155,1.8564,0.7322,-0.5804,0.4275,0.8076,-0.6835,1.2713,0.4442,1.9763,-0.4476,-0.1877,0.8742,-0.7521,-0.0853,1.1092,-0.8663,0.4567,0.3139,-0.6976,-0.6895,-0.0685,0.8828,-0.8727,0.0488,1.0528,0.8526,-0.9638,-0.9359
-0.9096,-0.6076,0.6195,3.2274,1.3402,1.463,-1.4454,-0.8924,-0.8951,-0.0198,-1.1936,-1.8202,0.8781,-0.7462,1.0618,0.6953,-0.9284,0.5387,-1.3079,-1.3159,0.2355,1.2289,0.0954,0.0254,0.3074,-1.4216,-0.5842,1.0311,-0.8432,3.5045,-1.6297,-0.3965,1.7842,-2.3304,-1.4907,0.4721,-0.2709,-2.5842,0.168,-0.1238,0.0799,1.065,0.4929,-0.0577,-0.5155,0.2219,0.9671,-0.692,0.601
-0.1475,-0.0133,1.1498,2.0143,-0.0798,0.4053,-0.8275,-0.1401,-0.8551,0.188,-0.2055,-1.3615,0.1222,-0.976,1.4112,-0.3119,-1.152,0.1208,-0.8204,-0.8683,-0.1919,0.402,-0.0652,-0.4081,0.0922,-0.6269,0.0064,1.1535,-0.2588,1.4545,-0.3556,-0.8776,1.1131,-1.5628,-0.9811,-0.2128,-1.7178,-0.6631,-0.5068,-0.3646,1.0761,1.6786,0.1479,0.8816,-1.1653,-0.316,0.2289,-0.6288,0.7447
-0.6596,0.7684,2.1211,-0.358,-1.2474,0.5626,0.4112,0.2666,-0.3555,0.4939,1.025,0.9857,-0.254,-0.2058,1.383,-0.192,-1.2709,-1.3637,-0.3156,-0.4038,0.1698,-0.4054,0.4157,0.6157,0.1449,0.097,0.5476,0.675,0.5196,0.5175,1.3553,-1.1997,-0.1436,-0.1944,0.5196,-0.0594,-0.5656,0.488,-1.2989,0.369,0.11,0.4278,-0.1543,0.7294,0.1847,-0.2986,-0.867,-0.1954,0.7523
-0.6139,-0.2023,2.3021,-2.1627,-0.884,-0.5024,0.2371,-0.0488,-0.4922,0.1671,1.0432,0.7322,-0.8537,0.4252,-0.126,-0.6649,-0.6164,-1.97,-0.1049,-0.6887,1.1486,-0.3157,-0.0801,0.9691,-0.0054,-0.4581,-0.0297,-0.0376,0.2785,0.0422,1.1398,-1.4825,-1.1636,-0.9982,0.2445,-0.023,0.743,-0.1144,-0.8292,0.0324,-0.8445,-0.6243,-1.1417,0.3706,-0.251,0.0497,-0.5018,0.4237,0.2904
0.1838,0.8021,0.6912,-1.3424,0.064,1.3904,-0.8606,-0.1201,-0.4827,-1.0833,-0.1716,-0.4601,0.1214,0.3237,-0.7418,-0.1011,-0.3367,-0.7772,-0.9284,-1.2633,1.4404,0.1361,-0.4221,0.1986,0.3247,-0.5832,0.7764,0.7802,-0.4812,1.5412,0.0607,-1.7885,-0.8503,-1.3248,-0.4458,1.2822,-1.4927,-0.7206,0.3147,-0.2508,-1.1206,-0.8177,-1.8146,1.6022,1.5862,-0.433,-0.6519,0.7184,-0.993
-0.1423,1.626,-1.4113,-1.8822,-0.4798,1.1795,-0.1598,0.3207,-0.2695,0.6475,0.521,0.0302,0.0353,-0.3038,-0.6571,0.3124,-0.3238,0.5975,-0.9053,-1.3166,1.0962,0.7756,-0.2523,0.6772,-0.2335,-0.1755,0.0694,0.0422,-0.4226,0.9408,-0.0265,-1.3312,-0.0965,-0.1517,-1.0846,1.5132,-2.0013,1.0895,0.6821,0.3084,-1.3708,0.3328,-1.5229,2.551,1.9685,-0.3362,-0.4604,0.9933,-0.6589
-0.5014,-0.1483,-0.8776,-1.7815,0.3971,0.7246,0.4257,0.6261,0.0376,1.3891,0.5021,-0.0475,-0.4671,-0.1921,-0.8499,0.6847,-1.0091,0.9878,-0.6557,-0.1435,0.5537,0.6445,-0.0816,0.3928,-0.5181,-0.0956,0.1565,0.5843,-0.6271,0.1648,-0.1914,-0.2434,-0.7457,0.5763,-1.0275,0.4053,-1.6302,0.1097,0.3673,0.9545,-0.5599,0.4068,0.3133,1.5795,0.9391,0.0254,0.3844,0.9509,0.6441
-0.8338,-1.1669,-0.7458,-0.4625,0.373,0.4944,0.6193,0.648,-0.9122,0.7203,0.6562,-0.1746,0.0658,-0.3519,-0.1819,2.1006,-0.8285,0.7369,-0.916,-0.8792,0.6402,0.9225,-0.604,1.3832,-0.2022,-1.2806,-0.491,0.9419,-0.4098,0.2365,-1.522,-0.5603,0.363,-0.0142,-0.9678,0.8799,-0.2161,0.0651,0.6849,0.8128,0.2916,0.9707,2.2347,0.3841,1.2702,0.3031,-0.46,-0.8008,0.707
-1.4411,-1.9906,-0.2078,-0.7124,0.8934,-0.8698,1.9872,-0.0412,-0.4144,0.6699,-0.0234,-1.5675,-0.0249,-0.7714,0.7324,2.4681,0.21,0.4077,-1.2403,-0.81,-1.1658,0.4317,-0.4933,1.3868,-0.0153,-0.7348,-1.4531,0.595,-0.5232,0.3706,-1.5861,-0.0742,0.0426,-1.1361,-1.9109,1.1782,-0.2225,0.3788,0.6633,0.8511,-0.6486,0.6679,1.9166,-0.0246,0.4717,2.0717,-0.2839,-1.4382,0.0782
-1.0747,-1.2538,-0.025,-1.4512,-0.0478,-0.9153,0.97,0.1949,-1.4088,0.4115,-0.1106,-2.2645,0.3277,-1.0861,0.4599,3.0523,0.4779,-0.708,-1.162,-1.296,-0.3326,0.9084,-0.7645,0.5811,-0.2784,-1.5259,-1.3485,1.1972,-0.042,-0.0629,-1.3843,-0.8104,0.5016,-1.6737,-2.0008,1.808,-0.3083,0.7579,-0.2139,0.1666,-0.4262,0.9646,0.4027,-0.2969,0.5359,0.8036,-1.1507,-1.8295,-1.3694
-0.2901,0.372,-0.045,-1.5553,-0.1043,-1.0831,1.7684,-0.0072,-0.822,0.6633,0.1356,-1.3259,0.1171,-0.1772,0.4446,2.9814,-0.9588,-1.2859,0.563,-0.2015,-1.3461,-0.0953,0.1772,0.048,-1.0098,0.0149,-0.3485,1.394,-0.0197,0.9217,0.037,0.1356,-1.3634,-0.6804,-1.9193,1.5165,0.023,0.4766,0.0471,1.2414,-0.8677,0.5174,-0.9485,0.0163,-0.4126,1.8175,1.4447,0.2423,-0.5953
1.4028,0.5267,0.3688,0.1803,1.4198,-0.5663,0.5432,0.9323,-0.8025,0.6053,-0.1277,0.2603,1.3346,0.1457,0.754,2.4118,-1.1139,0.2096,0.6186,-0.6039,0.0307,1.5173,0.5735,1.7219,-0.6064,-0.1574,0.2292,0.5966,0.0746,0.1043,-0.3111,0.4885,0.4492,0.3511,-1.2357,1.1637,-0.9115,-0.8469,-0.2833,1.3634,-0.8683,0.4324,-1.7739,1.411,0.136,0.6924,1.1558,0.3019,-1.5643
-0.1438,-0.2614,0.181,-0.168,0.8693,0.077,0.7635,0.7703,-0.0444,2.1098,0.5717,0.308,2.2859,-0.0542,-0.198,0.8205,-0.5237,0.5565,0.095,-0.4951,0.2146,-0.0041,0.2905,0.8414,-0.6183,-0.1852,0.4264,-0.0832,0.0947,-0.181,-0.1039,0.8044,0.1518,1.3361,-0.9438,0.6879,-1.4856,1.2719,-0.3786,0.8685,-0.1849,0.4703,-0.9332,0.5203,0.0139,-0.0891,0.7347,0.3437,-0.3023
0.4792,-1.1149,-0.0908,-0.9607,0.1251,-0.6771,0.7293,0.9082,-0.9451,3.0727,0.4731,-0.013,2.8191,0.6134,-1.2684,-0.7198,1.3374,0.7443,0.7802,-0.0288,1.051,0.4864,-0.8406,0.6975,-0.5938,0.0262,-0.6805,-1.249,0.3313,-1.0389,1.3577,-0.0701,0.8882,1.3389,-0.7183,0.5755,0.2102,-0.0408,-0.1346,-0.8495,0.6535,-0.2104,-0.1675,-0.4223,-0.1725,-0.8484,1.2126,-0.308,0.7991
0.2415,-0.4093,-0.5434,-0.7861,-0.592,-1.8849,1.2353,0.6751,0.2009,1.418,0.1579,-0.5054,1.8834,0.2943,-0.557,-0.9824,0.4815,0.2953,0.7401,1.0407,-0.3588,-0.6577,-0.3846,0.0091,-0.9518,1.2763,-0.5028,-1.6642,-0.1009,-1.8965,1.5909,0.0988,-0.3868,0.8733,-0.3756,-0.9227,2.1422,0.4929,-0.329,-1.8385,0.9506,-0.857,-0.0712,-0.8245,-1.3473,-1.8782,1.1979,-0.2477,1.1215
-0.236,-0.7889,-0.575,-0.0479,-1.1551,-1.5499,0.8311,0.9974,-0.1921,0.406,-0.4179,0.1501,0.4426,0.1169,-0.4665,-1.0089,0.008,-0.1293,1.1175,0.1289,0.1316,0.2053,-1.2681,0.0709,-0.6818,-0.7392,0.1929,-2.1698,-0.2561,-1.8031,1.1961,-0.2125,0.2747,0.455,0.3845,-1.3341,-0.2266,0.3679,-1.0287,-1.6939,0.3729,-0.4346,-0.4426,-0.8588,-1.5596,-0.6159,0.1308,0.078,1.5489
0.2415,-0.9571,-1.1326,1.0435,-0.7794,-0.8351,0.889,0.1957,-0.1957,0.6248,-0.3581,-0.4137,-0.6228,-0.2105,0.5224,-1.266,-0.5297,0.3073,1.032,0.1738,-0.3427,-0.5687,-0.4359,-0.7758,-0.5918,-1.2554,0.1447,-1.2993,-0.4169,-1.5914,0.1195,0.111,-0.4138,0.6851,0.2793,-1.0368,-0.5791,-0.1204,-0.9888,0.2195,-0.0752,-0.0004,-0.6186,-0.9897,-1.5003,-1.3147,-1.477,0.2455,0.6802
0.7375,-0.2329,0.0068,0.7228,1.1963,0.0387,-0.0589,1.1175,0.1799,0.0003,-0.1459,0.1293,-0.1303,0.4846,0.6603,-0.9453,0.3066,1.6126,0.991,-0.0224,1.721,0.8108,0.1402,0.0539,1.2794,-1.3125,1.0532,-0.4837,0.0919,0.1344,-0.1745,0.2395,0.3852,0.2644,1.2592,0.3712,-1.6342,-1.5585,-0.4986,0.6232,-1.2263,1.968,-1.3973,-0.672,1.2506,-0.3267,-1.4274,0.4814,-0.3807
0.3888,0.7349,-0.797,0.4756,1.0727,0.7333,0.195,0.8255,-0.2882,-0.5179,0.167,0.4991,-0.0783,0.5185,0.6284,-1.0736,-0.4572,1.187,0.3713,0.0617,0.8078,0.9362,0.0879,1.7055,0.8897,-0.9425,1.1332,-0.6547,-0.4613,0.4679,0.4729,0.2233,0.7981,0.9731,0.5092,-0.1597,0.7265,-1.3458,-1.0485,-0.3146,0.3012,1.5441,-1.7683,-0.4528,-0.1495,-0.374,0.2022,0.111,-0.1937
0.1458,1.0934,-0.1663,0.151,0.3734,0.5019,1.6898,0.7443,0.2478,-0.3374,0.6095,1.1901,-0.5347,0.5719,0.1029,-1.6392,0.8508,0.3043,0.5316,0.9166,-0.1737,0.0527,-0.3618,-1.0151,0.5502,-0.1577,0.1392,-0.66,0.1074,0.2059,1.6088,-0.7701,0.3086,1.9031,-0.0172,-1.2478,0.0842,0.9785,-0.3447,-0.5867,0.6168,0.561,0.24,-0.4414,-1.6496,-0.7704,-0.0542,0.2292,1.4609
0.146,0.7352,0.2939,-0.2585,0.2337,0.2715,0.819,0.6389,-0.1421,0.026,0.5726,2.1867,-0.5119,1.0502,-0.618,-1.3057,-0.2882,-0.8756,0.5811,0.351,-1.2406,0.0894,0.4436,0.5782,-0.0144,-0.2102,0.0999,-0.3933,-0.1262,-0.9429,1.3463,0.4146,-0.2963,1.307,-0.1732,-0.863,1.5079,-0.552,-0.324,0.1782,1.1376,-0.2861,-0.2786,0.1383,-1.0712,-0.5883,1.5747,0.8061,1.1374
0.4044,1.5728,1.2117,-0.5013,-0.9411,-0.0835,0.4863,-0.6228,1.4163,-0.398,0.5935,2.1621,-0.5298,0.7696,0.8197,-1.0397,0.6621,-0.764,1.0783,0.9999,-1.4608,-1.1639,1.0431,-1.4981,-0.0254,1.395,-0.2519,-0.3297,0.6784,-0.9214,1.1646,0.9735,-1.2367,0.9195,0.5574,-0.9182,1.7032,0.8806,-0.6884,1.1781,0.799,-0.9155,-0.5225,0.8156,-1.3076,-0.8491,1.8549,0.9509,-0.2762
