"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
-0.8007,-1.4843,0.0407,-0.6514,-0.6381,-0.4983,0.4681,0.6095,-0.3118,-2.3847,-1.0392,-0.6455,-1.8074,-1.108,-1.3154,-0.9752,-0.937,-0.1453,-1.0168,-1.0451,-0.1472,-1.2873,-0.369,0.0806,-0.3773,-0.0188,-1.4483,-0.8876,0.0766,-0.0351,-1.1423,-1.4692,-1.8384,-1.5265,-1.0248,-0.256,-1.1119,-0.3131,0.9687,-0.6265,-2.4063,-1.153,-0.4979,-1.4639,-0.6192,0.0873,0.3372,-1.2926,-1.5475
0.3737,-1.5394,-1.0857,-0.9788,-1.0981,-1.0391,-0.8586,0.6121,-1.2225,-1.143,-1.061,-0.8099,-1.2534,-1.1372,-1.7625,-1.0991,-1.2817,-0.2727,-0.8342,-0.9667,-0.7094,-0.7281,-0.2893,-0.526,-0.666,-0.118,-1.7442,-1.4021,-0.8274,-1.1814,-1.2093,-2.1622,-1.5115,-1.1937,-0.2728,-0.4449,-0.8505,0.2187,-0.401,-1.5401,-1.7932,-1.2609,-0.1072,-1.9511,-0.5288,-1.1233,0.6462,-2.025,-1.6572
0.2384,-0.8739,-0.315,-0.6372,-1.1483,-0.9668,-0.6265,0.5951,-0.5097,-1.4493,-0.9259,-1.5396,-0.6275,-0.7588,-1.786,-0.9707,-0.7593,-0.188,-0.1766,-1.2349,-0.5566,-0.8577,-0.994,-1.0892,-0.7825,0.0125,-0.8104,-0.6486,-1.0034,-1.0082,-1.5267,-1.858,-1.9093,-1.7028,0.2753,-0.7656,-1.2398,0.6075,-0.941,-0.4878,-1.1095,-0.0716,-0.2917,-1.2473,-1.123,-1.0607,1.625,-1.467,-1.039
0.158,-0.842,0.0794,-0.6047,-0.2284,-1.4522,-0.0695,0.3484,0.196,-1.2923,-0.8445,-0.4269,-0.9407,-0.8875,-0.9238,-1.3669,-1.1123,-0.0676,0.2736,-1.0351,-0.3921,-1.0613,-0.6528,-0.1165,-0.9707,-0.1113,0.3529,-0.3917,-0.3,0.0677,-1.3841,-0.3403,-1.4837,-1.1601,-0.0553,-0.5111,-1.5474,-0.0193,-0.7019,0.8186,-1.3349,0.8134,-0.5921,-0.4428,-1.241,-0.4007,0.5831,-1.6905,-0.0176
0.4582,-1.0961,-0.8564,-0.5679,-0.4202,-1.0786,-0.5935,0.4221,-0.4838,-1.3335,-1.0436,-0.4037,-0.9371,-1.6261,-1.0053,-1.2422,-1.6086,-0.5802,0.3408,-0.9936,-1.3042,-0.8158,-1.8354,-0.4297,-1.181,-0.5267,-0.2127,-0.5389,-0.2653,-0.0378,-1.0432,-0.7407,-0.9269,-0.3093,-0.2838,-0.86,-0.9188,-0.4568,-1.1156,-0.0167,-0.8429,0.2451,-0.5958,-1.2393,-1.2058,-1.1812,-0.7337,-1.8987,-1.0188
0.0751,0.1369,0.2748,-0.2169,-0.2458,-0.6687,0.4434,0.3579,-0.1713,-1.2675,-0.9841,-0.3443,-0.7491,-1.7836,-0.6239,-1.4735,-0.8703,-0.3583,0.5899,-0.4132,-0.016,-0.1064,-1.4485,0.0148,0.0037,0.6801,-0.2222,-0.2783,-0.1313,-0.3604,-0.9848,-0.2752,-1.0248,-0.5641,-0.3612,-0.6438,-1.6789,0.1865,-1.0379,0.4462,-0.9826,0.6133,0.072,-0.7633,-0.9742,-0.5257,0.7118,-0.9873,-0.9727
0.0779,1.3916,-0.2599,-0.003,0.2118,-0.2586,0.8557,0.1334,0.217,-0.8126,-0.3072,0.1805,-0.9282,-1.0189,-0.0448,-0.1653,-0.5633,0.0923,0.0588,0.4726,-0.273,-0.5294,0.5172,-0.2741,0.5243,1.1266,-0.1167,0.0605,-0.3778,0.2335,-0.1531,1.5363,-0.1273,0.3029,-0.4988,-0.2473,-0.3394,0.3211,-0.0715,0.2834,0.3855,-0.0099,1.411,0.4038,-0.3093,1.8863,1.6544,0.1615,-0.3025
0.7637,1.0989,0.681,0.7034,0.4862,0.2833,0.4115,0.2361,-0.1692,0.3025,-0.4687,0.4587,-0.0054,0.1164,-0.0404,1.0035,-0.0051,0.3734,0.1681,0.0585,0.4459,0.4706,0.6397,0.2905,0.7215,1.3622,-0.2999,-0.081,-0.655,-0.0828,0.0746,0.6586,0.0896,-0.3116,0.9565,-0.1507,0.1031,0.1403,-0.3763,-0.1259,0.1718,0.1735,0.3819,0.3698,0.3037,0.6496,1.8435,0.5055,0.2893
0.7019,1.1283,1.238,-0.2518,0.5386,0.1689,1.0402,-0.0426,0.5736,0.7481,0.4149,0.7893,0.6434,0.406,-0.081,1.1397,0.3631,0.3854,1.3464,0.1606,0.5561,0.1564,0.4596,0.7434,0.8992,0.5392,-0.4012,0.4628,-0.1519,-0.0148,0.5563,0.5903,0.3596,-0.2502,0.8993,-0.4694,0.2238,0.3818,-0.2016,0.1621,0.4837,0.2437,0.4279,0.429,-0.7014,-0.6314,-0.643,0.3448,0.9009
0.157,1.1126,0.0034,0.2347,-0.1538,0.2507,0.2595,0.1992,-0.0185,0.6702,0.5272,1.058,0.4651,0.1486,0.2233,0.4911,0.0274,0.0904,-0.2713,-0.3343,0.8687,0.4927,0.7886,0.185,0.3342,-0.4978,-0.182,0.3038,0.421,0.3132,0.1337,0.566,0.5838,-0.2011,0.236,-0.6408,0.9359,-0.3281,-0.223,0.2565,0.9503,0.3524,0.5904,0.2918,0.4445,0.4878,-1.0627,0.2566,1.3359
0.3395,-0.001,-0.8463,0.9433,-0.221,0.7788,-0.3487,0.0033,0.2356,0.0837,0.0977,-0.2973,0.4796,-0.0544,-0.1393,0.848,0.0193,0.193,0.068,-0.5833,0.1048,0.1637,-0.4662,0.2456,-0.0254,-0.5887,0.5395,0.3146,-0.7285,0.7066,-0.4891,0.1001,0.1796,-0.0664,-0.054,-0.271,1.1519,-0.7674,-0.5526,-0.2641,1.0442,-0.0049,-0.5946,0.1444,0.7558,0.0458,0.588,0.8365,0.8131
-0.1197,0.7738,-0.3492,0.0509,-0.14,-0.7036,0.28,-0.0393,0.1659,0.6893,-0.2049,0.4102,0.0426,0.3798,0.4962,0.3979,0.8074,0.5951,-0.3363,-0.0987,0.3814,-0.3184,-0.4729,0.3395,0.3221,0.1249,0.6436,0.1523,0.0998,-0.0564,0.2631,-0.2491,-0.0325,-0.0027,0.1541,0.3632,0.0008,0.7265,0.5679,0.5258,1.5165,0.2161,1.0688,0.3572,0.7331,0.7864,0.5646,1.157,1.3126
0.1812,0.3986,-0.2012,0.481,0.231,-0.4385,-0.7625,-0.0319,0.0413,-0.0148,-0.213,0.7665,-0.326,0.8158,0.3898,0.5451,0.995,0.0394,-0.4651,0.167,0.6149,0.0805,-0.1878,0.2287,0.1377,0.4934,0.9556,-0.5885,0.0382,-0.5764,0.3283,-0.1902,0.5088,0.2613,0.5419,0.8194,1.0177,-0.2494,-0.6465,0.4302,1.6423,0.1777,1.1326,0.2617,1.0683,1.5201,0.1807,0.8657,0.503
0.4439,-0.5591,0.7501,0.5998,0.5559,0.476,-0.5862,-0.3728,0.2188,0.9541,0.1826,0.5351,0.491,1.3649,0.3582,1.2097,1.6822,0.084,1.1954,-0.0981,0.8662,0.7375,-0.5961,0.9586,0.4752,0.9851,0.0594,-0.1449,0.4149,-0.9407,0.9774,-0.5566,0.2394,0.217,0.6488,0.4488,0.9443,-0.1498,-0.0698,0.754,0.4914,0.4777,0.3195,-0.1001,0.4963,0.2946,0.105,1.2019,0.0974
0.5079,-0.5861,0.3328,0.3187,0.2789,0.3146,0.0846,-0.5764,0.6303,1.0514,0.625,1.2428,0.1884,1.4308,0.8029,0.247,1.8116,0.0241,0.7906,0.1969,1.4744,0.5456,0.1764,0.7063,0.6874,0.8136,0.4569,-0.0182,0.5048,-1.252,0.9361,0.6881,0.1705,0.0251,0.6929,0.597,0.7067,-0.3888,-0.5652,0.6925,-0.124,0.7919,-0.1594,0.7226,0.1316,0.8477,-0.0443,0.9074,0.3443
1.3215,-1.3881,-0.6968,0.0088,-0.3175,0.6276,0.1444,-0.2046,0.5015,0.7425,0.3116,1.0492,-0.7294,1.0884,0.782,0.5213,1.0573,-0.3067,0.5385,0.3498,0.924,0.51,-0.1664,-0.1394,0.3748,-0.0967,0.2673,-0.1343,-0.0434,-0.914,0.9545,-0.0378,0.5085,0.241,0.6942,0.5161,1.2205,-0.8511,-0.6608,0.0075,0.1134,-0.1947,-0.0945,0.0713,0.0375,-0.2676,-1.4466,0.2371,0.5997
0.5808,-0.5792,-0.5885,0.273,-0.4531,0.9286,1.2822,1.1805,0.4937,0.5499,0.3841,0.8747,-0.2356,1.157,0.9565,-0.9548,0.8644,0.1511,0.1294,0.7352,1.094,0.8412,0.3687,-0.0807,0.5433,-1.2623,0.9295,0.5749,0.9162,0.4329,0.0005,-0.559,-0.311,0.5068,0.3317,0.6388,-0.1977,0.184,2.3207,-0.5951,0.1058,-0.0542,-0.1497,0.5217,0.8865,-0.1686,-0.6136,0.0967,0.8061
-0.0721,-0.0134,0.0755,-0.993,1.3445,0.417,1.115,0.5498,0.6379,0.5546,1.359,0.4833,0.0494,0.0489,1.7088,-1.4152,0.3897,-0.3754,-1.2944,1.2161,-0.2356,-0.0697,1.3238,-0.8359,0.462,-0.3251,0.2678,1.2933,0.2197,0.7835,-1.0124,1.3059,0.08,1.2667,-1.6905,1.012,0.3502,0.8952,2.6722,-0.3532,0.0719,-0.1743,-0.2113,1.11,-0.1884,1.4059,-0.0948,0.4927,-0.5522
-1.0937,-0.189,0.4724,0.0997,0.1566,0.5384,0.2321,0.5056,-0.3467,0.4416,1.443,-0.5447,0.1411,-0.5706,1.6588,0.0508,-0.4024,-0.4074,-1.9862,0.3039,-0.1308,0.633,0.9945,-1.6815,0.0019,-0.7257,0.0599,1.4071,-0.5562,1.14,-1.1529,1.074,0.574,-0.2031,-1.7524,1.5795,0.3331,0.3957,0.9716,-0.5928,0.6222,0.3408,-0.4488,0.4533,-0.1137,0.401,-0.9969,0.3897,-1.478
-0.6897,0.0848,0.7893,0.2631,0.2184,0.4017,0.7442,0.5678,0.8326,1.561,0.9042,-1.0302,1.0982,-0.0068,1.7304,1.2895,-0.1642,0.2875,-0.4927,0.7639,-0.4344,0.616,1.2513,0.1621,0.0734,0.2653,0.5545,1.6594,-0.609,1.5944,-0.245,1.2067,1.0533,0.1066,-0.6343,2.2616,0.2724,0.9718,1.1623,0.0221,0.3924,0.0674,-0.3486,0.959,0.0735,-0.3494,-0.3157,1.2625,-1.2728
-0.4903,0.2391,-0.134,0.393,-0.4929,0.7725,0.9684,1.1055,0.907,1.1775,0.9086,-0.1671,0.8507,-0.0137,1.1525,1.4195,-0.2676,0.3095,-0.4297,0.8918,0.4833,0.642,0.7114,-0.2741,0.2025,0.5126,0.4538,1.3199,-0.805,1.0007,0.5885,0.3427,0.9849,0.9536,0.0698,1.7441,1.0546,1.0341,-0.1317,0.5443,0.7408,-0.0994,0.2785,0.7288,0.4185,-0.215,-1.1663,1.3723,-0.5507
-0.3972,-0.2068,-0.4448,0.2959,0.0608,0.9726,0.1701,0.9825,0.723,-0.0713,1.5143,0.3533,1.3735,0.3807,0.5274,1.7569,-0.3749,-0.0617,-0.0865,0.6985,0.1469,0.3506,0.0417,-1.0912,-0.1311,0.3625,0.5787,0.3993,-0.2899,0.3736,1.0132,0.1745,0.8548,1.5037,0.1358,0.9373,1.2764,0.3138,-0.5415,0.9892,1.1469,-0.2729,0.0384,1.3827,0.6425,-0.202,0.4023,1.2917,0.0668
-0.8634,-0.0398,0.2099,0.5804,0.2961,0.4706,0.9742,1.1811,0.6726,0.093,1.2821,0.8287,1.2096,0.4859,0.4075,1.5661,0.1532,-0.3943,-0.0031,0.2476,0.1253,-0.0077,0.8804,-0.5023,0.085,-0.3351,1.0862,0.3262,1.0982,-0.3135,0.9043,0.066,0.7256,2.0872,0.2459,-0.1357,0.6989,0.7088,-0.3917,1.0325,0.0541,0.2925,-0.8869,2.1873,0.467,-0.3035,-0.8713,0.7412,0.8165
-0.9124,0.1936,0.1288,0.2679,-0.3496,0.2918,-0.0267,1.0309,-0.085,-0.037,0.5956,0.5082,0.9014,0.3211,-0.1909,1.523,0.5048,-1.4499,1.207,-0.3033,-1.0446,0.2862,0.025,-0.6815,0.1693,-0.9397,0.8141,0.496,1.3372,-1.1032,1.3783,-0.2391,0.5648,2.0384,0.0364,-0.9415,1.6002,0.4968,-0.1553,0.7809,0.2536,-0.645,-0.6494,0.6929,0.38,-2.2699,-2.3727,0.271,-0.3756
0.4041,1.5609,0.9701,-0.5975,0.1792,-0.3546,-0.6685,0.4163,0.3514,-0.7211,1.3443,0.3349,0.8889,0.4282,0.5481,1.0575,0.8343,-2.0349,1.7006,0.0519,-1.0561,0.3434,-0.4313,-1.5476,0.1678,0.4125,-0.1292,1.0453,2.3141,-0.8513,1.7374,1.4539,-0.359,2.09,-0.564,-1.4864,1.4835,1.2476,0.9636,1.5407,1.3251,-0.8016,0.1114,0.7338,-0.0595,-0.004,-0.6098,0.8808,0.472
