"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
1.0306,-0.0705,-1.2631,-0.4025,-0.6329,0.5173,-0.7914,-1.0554,1.0302,0.8488,0.7176,0.7434,-0.2385,-0.818,0.3049,-0.3349,0.4085,-0.165,-0.4995,1.7356,-1.455,-0.4486,1.221,0.3637,0.7811,-1.3319,-0.7141,1.6417,-1.8689,0.2427,-0.9176,1.7112,0.3059,0.9508,-1.3051,0.2266,-0.4363,0.7621,-0.2067,-0.5291,-0.1029,-1.032,0.7824,-0.9976,0.1946,-0.0016,-0.7534,-1.2068,0.098
0.5692,-0.2329,-1.0628,0.1436,0.8723,-0.9592,-0.6567,0.4005,0.5952,0.532,-0.7023,0.7469,-0.3677,-0.377,0.4522,0.7184,0.9412,0.0625,-0.0224,0.6938,-0.6075,1.1227,0.5966,-1.1035,1.6335,-0.9232,-0.6728,0.6698,-1.3154,-0.0465,-0.8465,1.8536,0.1817,-0.622,-0.4984,1.2649,-1.0195,0.1463,-0.0523,-0.2773,0.2876,-0.3384,0.2433,-0.8188,1.1316,-0.0071,-0.2565,-1.641,-0.7249
0.5878,-0.3854,-0.4633,0.2734,0.1795,0.6803,0.8025,-0.0594,0.6423,-0.3005,0.4565,0.0772,0.1759,0.6307,-0.221,-0.8294,0.9647,-0.1522,-0.2057,1.0968,-1.0332,0.8712,-0.6332,0.0361,1.2172,0.4259,-0.8389,1.1603,-1.0341,0.8125,-0.7477,0.7222,-0.799,-1.2113,-0.9901,2.1487,0.6889,-0.8839,0.3078,-0.4809,-0.2995,-1.3792,1.0821,-1.0215,1.0391,-0.4781,-0.621,-2.2813,-1.6853
1.2135,1.193,-0.7998,-0.6626,-0.9868,0.5379,0.2302,0.2079,-0.76,0.423,0.3717,0.5848,-0.1518,0.3379,-0.5501,-1.8249,1.9125,1.198,-0.7115,1.5567,0.2292,0.9538,1.0147,0.5775,0.9819,2.216,-0.8824,0.8439,-1.6485,0.0251,-0.62,-0.1266,0.4923,-0.626,-0.7455,1.7702,-0.1928,0.9652,1.068,-0.4432,0.2773,-0.9184,1.6688,-1.0203,0.9523,0.3061,0.7385,-1.4804,-1.2708
0.258,0.3979,-0.5806,0.0365,-0.3958,0.3439,-0.5891,1.3351,-0.2109,-0.293,0.1768,0.5839,1.1315,-0.6332,-0.9017,0.9538,1.4039,1.6117,-0.6125,1.8451,1.5194,0.6295,0.8712,-0.3467,1.3684,1.2514,0.0335,0.0468,-0.5831,1.1449,-0.5368,-1.2694,0.2194,-0.3494,-0.3855,1.109,-1.3748,0.8852,0.0039,-1.1301,-0.0218,0.1633,1.6658,-1.0868,0.3938,1.5409,1.1563,-0.7586,-0.8993
0.258,0.6679,-0.0076,0.4296,-0.5789,0.2018,0.3489,1.3206,1.473,0.0489,-0.2381,0.718,1.1775,-0.615,1.1548,2.2391,0.0954,1.3698,0.6054,0.8571,0.744,-0.3166,0.6296,1.0594,0.7061,0.6,0.169,0.4054,1.0144,2.2258,-0.5481,-0.2264,1.3017,0.418,0.5981,-0.3846,0.4774,-0.0266,0.5513,-0.2865,0.2957,1.2061,0.6632,-0.346,-1.0287,1.9487,2.2811,1.1475,-0.4281
0.4561,0.057,0.0289,0.3637,-1.29,-2.0846,-0.6527,0.5012,1.4759,0.8233,0.5971,-0.0749,-0.6256,0.8494,0.3664,-1.0673,-0.7739,-0.1775,1.7935,0.1375,0.1115,-0.801,0.7431,-0.4826,-0.2573,0.1902,-0.4044,0.9002,1.6559,0.7652,1.2506,0.309,0.6614,0.9827,1.4093,-0.9927,2.4049,0.1028,0.5782,0.1498,1.7571,0.0573,0.7699,0.3675,-0.6083,0.4736,1.2999,1.7389,0.5179
0.0876,-0.4252,2.1134,-0.016,-0.9749,-3.0648,-1.7078,-0.2034,-0.2,-0.5764,0.2455,0.122,-1.1536,0.6926,-0.894,-0.9835,-0.0904,-1.1449,1.7128,-0.718,1.6324,0.3923,0.587,-1.2327,-0.5694,-0.1076,-0.2297,0.3743,1.5843,-0.5831,1.6587,-0.5652,-0.8598,1.1784,0.7335,-0.8032,1.3102,-1.5867,-0.7243,-1.6259,0.5111,0.1719,-0.0452,-0.437,-0.2189,-1.41,-0.879,1.1596,-0.0405
0.7287,-0.2546,1.413,0.4684,-1.0054,0.0108,0.1761,0.0887,-0.0849,0.0897,-0.0291,-0.6422,-0.7174,0.7112,-0.0282,0.777,-0.5451,-0.6161,1.2047,0.488,1.5829,-0.3859,0.2897,1.0924,-1.1677,0.486,-0.5222,-0.7257,0.8646,-0.5331,1.9031,-0.3255,-0.5646,1.3951,0.6944,-1.1333,1.5301,-1.3858,-1.117,-2.0561,-0.2798,0.1551,-0.0814,-0.8852,-0.7988,-2.0202,-0.555,0.8523,-0.6416
0.7172,-0.3791,-0.4902,0.4903,-0.1537,0.572,-0.156,1.1486,0.7628,-0.092,-0.8136,-0.3498,0.2517,0.4384,-0.0386,0.5729,-1.6688,-0.3224,1.0419,0.9865,0.7841,-0.8432,0.1664,1.2861,-1.0872,0.4165,-1.3853,0.477,0.3055,-0.3714,0.8668,0.8681,-1.578,0.3691,0.254,-0.6061,0.0488,-0.9054,-1.1074,-1.0911,-0.861,0.2629,0.2545,-1.0217,-0.1429,-1.7295,-0.1199,0.0263,-0.9528
1.0992,0.7333,-0.7267,0.7527,2.1028,-1.3332,-0.5341,0.7228,0.9635,-0.3019,0.2193,-0.1287,0.5376,-0.1671,1.2155,-1.1515,-0.9419,-1.2348,0.5952,0.8378,-0.7004,0.1832,-0.6695,-0.0393,-0.895,1.2176,-1.9044,-0.233,0.6152,-0.8307,-0.4754,-0.0088,-2.1969,0.1871,-0.6129,0.038,-1.4619,-0.3903,-0.3842,-0.4914,-0.7278,-0.3532,-0.0001,-0.3277,0.2612,0.993,0.5088,0.1059,0.5805
-0.3802,-0.4321,-1.0379,0.6391,1.5641,-0.9398,-1.4257,-0.1846,0.5456,-1.7212,-0.0828,-0.7889,0.4432,-1.3102,1.0382,-0.7004,-0.0595,-0.2829,-1.6241,0.1393,0.0911,0.6939,-0.3917,-1.9809,0.654,0.2321,-0.2952,-1.8612,-0.8825,-0.2129,-2.3706,1.1737,-0.9799,-0.6385,0.1104,0.8431,0.4556,-0.5825,0.2149,-0.8498,0.2737,-0.4667,0.0903,0.0762,1.5318,1.8259,-0.1128,-0.2372,-0.9398
-2.1078,-0.7266,-0.5153,-0.5297,0.7885,0.3071,-0.467,-0.619,-2.1152,-0.774,-0.973,-1.5816,0.1972,-1.1571,-1.3947,0.1056,0.9497,-0.2793,-2.4342,-0.9027,-0.9998,0.2377,-1.2459,-1.4113,1.1645,0.0416,0.6442,-1.3857,-2.6029,0.2298,-3.0665,-0.3927,-0.4277,-1.8204,-0.1733,1.7215,1.1295,0.1613,0.6093,-1.1516,0.2942,-1.6506,1.3927,-0.1493,1.9251,1.2258,-0.2729,-1.7419,-2.1318
-0.6686,0.5691,-0.2022,0.2703,0.571,1.1796,0.0254,0.2411,-1.818,0.7713,-0.064,-0.9664,-0.4865,-1.1359,-0.4226,-0.2821,1.4678,0.8297,-1.7018,-0.4957,-1.4344,0.8461,-0.3657,1.0633,0.7187,-0.0636,-0.594,-0.7646,-2.4478,-1.0281,-1.8684,-0.8995,0.3442,-1.1746,-0.2382,1.4643,-0.0544,0.8466,1.1713,0.0552,-0.5128,-1.4437,1.235,-0.6625,1.2543,0.0648,0.2116,-1.9394,-1.2196
-0.8199,-0.197,-0.4542,0.1976,1.3587,0.8464,-1.611,1.2231,-0.6254,-0.5277,0.3778,0.0601,-0.5874,-1.2513,-0.3405,0.2856,0.0389,-0.016,-2.2755,-0.1369,0.427,0.4126,-1.4584,0.5185,1.0977,-1.1197,-1.0633,0.193,-0.9471,-1.326,-2.0269,-0.0513,-0.3964,-1.0049,-0.5997,0.7776,-0.3271,0.5123,0.1516,0.1965,-0.4481,-0.9156,1.1396,-0.9568,0.7609,0.0844,0.0193,-1.7223,0.7223
-1.2232,-1.0665,-0.3794,0.7454,1.8059,0.3944,-1.1982,1.2103,-0.2959,1.6023,-1.0038,0.2322,-0.1844,-0.6492,0.0178,1.0791,0.4753,0.0898,-1.3524,-1.6308,0.8238,0.6546,-1.0368,0.2345,1.0883,0.2764,-0.0842,0.8631,-0.6881,-0.5259,-1.5385,0.2115,0.6434,-0.8355,-0.2347,0.6365,-0.3693,0.2592,-0.0575,-0.1663,0.148,0.6996,0.935,-0.9608,0.626,-0.1067,0.6698,-1.3125,1.796
