"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
0.2373,0.9345,3.6321,-0.3388,1.4865,-3.3769,-2.3863,-0.5562,-0.6025,-0.9232,2.3927,0.1966,-0.0351,-0.9052,0.5648,0.2903,-0.4113,-0.7321,-0.6606,-1.0623,-2.11,0.4249,2.9204,0.729,-0.4563,-1.0866,2.1073,2.1303,1.121,0.9897,0.6316,1.2257,1.4659,0.0363,0.1604,0.3951,1.3889,0.4361,-1.1708,-0.3224,0.6229,-1.7156,1.2153,-0.2893,0.0324,-0.0392,0.4087,-1.1807,-0.3467
0.5186,-0.7848,1.9795,0.6885,0.5088,-1.3012,-1.1206,-0.8154,-1.2086,0.3727,0.4968,-0.1634,0.2096,-1.3982,-0.4959,0.2478,-1.5895,-2.0654,-0.3917,-0.9704,-2.3462,0.3846,2.1548,2.1106,-0.3645,-1.412,0.0346,0.2501,0.511,0.9586,-0.3453,0.7394,-0.1088,-1.7627,0.0246,-1.0706,1.8625,-1.1105,-1.7591,-0.3544,-0.1025,-1.2205,-0.0577,-0.5154,-1.3871,0.0439,-0.1362,-2.1065,-0.7957
0.9998,-0.9818,0.3924,0.2487,-0.9567,0.2005,-0.1985,-1.3535,-0.3878,1.0578,1.4138,-0.0197,-0.0351,-1.3351,-0.256,-0.3496,-2.0471,-1.6397,0.1298,-0.5354,-3.1962,-0.7837,1.1981,-0.011,-0.4551,-1.2712,-0.9441,-0.2031,0.238,-0.0264,-0.0275,-0.1863,-0.6258,-1.7353,0.8507,-1.4067,0.5715,0.2141,-1.3915,1.3097,-0.5864,-0.852,-0.3705,-0.2812,-0.1865,-0.7216,-0.9212,-0.2651,-0.3786
0.1406,-1.6607,-0.3426,-0.5785,-1.4482,-0.892,-0.3591,-1.4429,-0.178,-1.752,-0.254,-1.2065,0.1372,-1.0048,-0.8343,-0.7932,-0.7264,-1.7359,0.5591,-1.6043,-2.3913,-1.0777,-0.4501,-1.2786,-1.2364,-1.3031,-0.8708,0.0145,-0.1943,-0.6095,0.005,-1.6845,-1.2727,-1.0651,0.757,-0.9177,0.5168,-0.99,-0.6969,0.8131,-1.0838,0.3498,-0.6205,-0.6686,-1.0114,-1.2848,-0.5055,0.3852,-0.6485
0.4569,-1.4413,-0.8662,-0.6923,-1.7182,0.454,0.2414,0.087,-1.0374,-2.0537,-0.7457,-2.3518,-0.4568,-1.1992,-1.2552,0.1593,-0.8504,-0.9,0.6822,-1.0475,-0.8548,-0.6765,-1.2502,-1.8174,-1.2164,-0.9334,-0.9204,-0.4192,-0.3847,-0.8306,-0.6908,-1.3634,-1.5993,-0.3038,-0.2999,-0.7704,-1.056,-0.4716,-1.077,-0.4524,-1.3238,0.9153,-0.4195,-1.1877,-0.6696,-0.6782,-0.2491,0.1254,-0.4567
0.8064,-0.2792,-1.0074,-0.3979,-0.6036,0.8807,0.4071,0.6376,1.1858,1.3088,-0.3233,-0.5474,-0.1476,-1.1678,-0.7453,-0.9125,-0.8951,-1.2857,0.1851,0.7597,-2.0643,-1.6418,-0.3033,-2.3468,-1.531,1.64,-1.805,-0.1034,-0.1112,-0.0215,0.5887,-0.2172,-1.4833,1.0531,-1.4491,-0.5952,-1.3888,0.4556,0.0126,-0.16,-0.2299,-0.5506,0.4637,-1.379,-2.2236,0.4254,0.857,-0.3229,0.2619
-0.67,0.7034,-0.2986,0.5318,0.3889,0.6703,1.0502,0.9454,0.2393,-0.5987,-1.5774,-0.8588,0.8946,-0.171,-0.2566,0.1157,0.4293,-0.626,1.0054,0.9507,0.0116,-0.4094,-1.1432,-0.0944,-0.3418,2.1849,-0.9392,0.4613,0.0777,0.1361,0.7628,-0.6603,-0.952,1.0381,-0.8322,0.4389,-0.8155,-0.1246,-0.2076,-0.2674,-0.2647,0.3744,0.0874,-1.0305,-0.9866,-0.4336,0.391,-0.2878,0.6907
-0.3478,0.9296,-0.391,0.3886,1.3779,-0.219,1.1809,1.1469,-0.1667,-0.2202,-0.5855,1.063,0.4784,-0.0871,0.5695,0.8111,0.1571,0.669,1.5896,0.4588,0.2212,-0.0236,-0.5314,-0.7884,0.2676,0.9664,-0.1465,-0.549,0.0269,-1.1325,1.7511,-0.1316,0.6146,1.1431,-0.0412,0.2729,-1.263,-0.3264,-0.6108,0.6671,-0.2206,0.6683,0.6011,0.2616,0.7167,-0.8347,0.4738,-0.0712,0.1871
0.0162,-0.0463,-0.5663,0.5023,1.2085,-0.7966,0.3515,0.1331,1.0022,0.7955,-1.154,0.6852,0.6794,0.6805,0.3181,0.0024,0.9473,0.5051,0.9388,0.0532,1.2312,-1.5275,-0.1065,-0.1343,0.5427,0.7418,0.6155,-0.9246,0.8661,-0.1403,1.7636,-0.2547,-0.0252,0.5504,0.5286,-0.4391,-0.2885,-0.4299,-0.4698,0.4477,-0.7091,-0.1732,0.5842,0.2574,1.0362,0.1046,0.4353,0.0742,-0.1087
-0.1756,-0.5453,-0.9725,0.9905,0.614,0.5924,0.3048,-0.0797,0.9634,-0.9151,-1.9149,0.2172,-0.1283,0.7615,0.5547,0.4568,-0.2022,0.82,0.5751,-1.28,2.1217,-0.4912,-0.5497,-0.0769,0.8331,0.0696,0.743,0.0904,0.888,0.3504,0.9567,-0.7473,0.0433,0.5884,0.3498,-0.5048,-0.3429,-0.0893,0.1163,0.1967,-0.5135,0.3983,0.977,0.9411,0.6249,0.6272,0.5333,0.84,-0.9133
