"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
0.9263,0.6861,-1.3415,0.632,0.7747,0.6547,-0.0723,-0.3046,0.1119,0.2671,-0.2908,-0.5545,2.7388,-1.4368,0.1415,-0.0653,-2.5237,0.2645,-1.1646,0.5754,0.2767,-1.2793,-1.1613,-0.0876,-0.4105,1.4406,-0.3776,0.8739,0.4417,0.7307,-1.2532,-0.5104,-0.1605,0.3252,-0.266,0.0131,0.6969,1.1338,-0.2944,1.1958,-0.6699,-0.3342,-0.5195,0.5234,-1.4762,-0.6096,-0.0503,0.3048,-0.3313
2.6404,2.8829,-3.1185,0.6134,2.4437,-0.5694,4.1451,-0.0173,3.7928,3.2486,2.7083,2.6551,1.897,1.2755,-0.9193,-0.7594,-0.9284,2.3807,2.0979,3.7308,-1.3112,0.8457,0.3963,2.9169,-2.0386,-3.053,0.6505,-0.753,1.9695,2.4496,-1.4925,2.1637,-3.1538,-0.1167,1.8066,1.8041,0.2075,-1.6219,2.8476,2.8208,-0.1015,-0.5418,0.3829,0.0368,1.5898,0.5376,3.1053,1.1345,2.54
1.3402,0.5767,-1.248,-1.0313,1.8009,-0.7965,-0.004,-0.3838,2.5246,1.6131,1.1231,0.5743,0.9932,0.7797,-1.1366,-0.7824,0.2007,2.6702,2.529,0.3103,-1.6701,0.9611,-0.3778,-0.2694,0.3149,-1.4059,1.3399,0.7696,0.3704,1.6799,-1.3333,1.4041,0.4859,-1.0205,-0.2409,0.3368,0.0256,-1.0702,2.2276,1.6703,3.082,-0.0818,0.6802,-0.6147,0.5561,0.6132,0.1043,0.467,0.8629
-2.7072,0.153,0.4414,-0.3214,1.2058,-0.7569,-2.6678,0.8394,-0.6106,0.1253,-0.5406,-1.3555,0.5826,-0.068,0.4111,-1.0266,-0.4724,-0.3686,0.0794,-0.5332,-0.5934,0.1322,0.6074,0.0785,0.7349,1.445,0.0847,0.6806,0.193,-0.6261,0.5327,-0.2321,1.8585,0.2403,-0.7397,0.0328,-0.125,0.1392,-0.3704,0.2715,0.4673,0.4984,-0.813,0.1358,-0.4362,-0.5754,0.8012,0.1907,-0.8849
0.2363,-0.657,1.3744,-0.0287,-0.5759,0.3794,0.6496,0.1616,0.5069,0.1857,-0.2956,1.5379,-1.6113,0.6213,-0.8703,-0.4878,-0.1308,0.1951,0.5603,-0.6995,0.5775,0.0932,0.6728,0.6045,0.6419,-0.3645,-1.3856,-0.0589,0.5383,-0.7729,1.6048,-0.7972,1.2296,-0.0112,0.0423,-0.2176,0.1858,-0.0411,-0.707,0.401,-0.6907,0.4589,-0.6112,0.6289,-0.2713,-1.8169,-0.4254,-0.3917,-0.8064
0.7195,-0.8212,1.25,-0.0246,-1.1428,2.0473,-1.2181,0.5269,-0.5982,0.7294,0.4325,0.5214,-1.2484,1.2216,-1.1027,0.6883,0.1534,-0.5978,0.78,0.3278,0.7121,-0.8264,-0.8166,0.0705,-0.0511,-0.0053,0.1808,-0.0313,0.2615,-1.1094,0.5616,-0.3626,0.221,0.9302,0.4023,-0.0652,-0.4454,0.8842,-0.6623,-0.6931,0.1322,-0.9184,0.9404,-0.2152,-0.4375,0.2919,-0.7015,-1.7508,0.9824
-0.7612,-1.3033,1.5353,-0.6874,-1.4718,0.3056,-1.0832,0.216,-0.7896,0.1825,-0.0228,0.8221,-0.5118,-0.1758,-1.1114,-0.222,1.0215,-1.1674,0.3177,-1.1298,0.2738,0.2296,-0.0337,-0.2917,-0.4531,0.3876,0.5631,-0.8872,0.3033,-1.6986,0.5383,-0.5603,-0.0916,0.1256,0.2524,-0.2923,0.4214,-0.4741,-0.7257,-0.8664,0.4333,-0.5647,0.5913,-1.1053,-0.2053,-0.5032,-2.0149,-1.2992,-0.7764
-0.691,-0.7434,0.1691,-0.9771,-0.5345,-0.6644,0.4698,0.5733,-0.7214,0.1136,-1.9476,0.6661,-1.3482,-1.0639,-0.701,-0.8689,0.8364,-0.4314,-0.5849,-0.117,-1.2812,-0.6533,0.3974,-0.2417,-0.1401,0.5719,-0.1995,-1.2045,-0.4711,-2.0327,-0.0515,0.3378,-0.6893,-0.1864,0.3857,-0.5901,0.0327,-1.6047,-1.5276,-0.6266,-0.2035,-0.3487,-0.9309,-0.7398,-0.5903,0.5371,-0.4017,-0.99,-1.5994
-0.7427,-1.1073,-0.0885,-0.75,-1.133,-0.5695,0.2608,0.7123,-0.6085,-0.9876,-1.6641,-0.3072,-1.0414,-1.733,-0.8578,-0.3277,0.0476,-1.5025,-1.3409,-0.7252,-1.8137,-1.2312,-0.3746,-0.6033,-0.2861,0.0744,-1.0085,-1.3877,-0.8229,-1.302,0.1845,0.1786,-0.6996,-0.195,0.0923,-0.8341,0.0147,-1.1292,-1.6856,-1.0276,-0.6753,-0.7029,-1.0311,-1.0859,-0.8319,0.2361,-1.1843,-1.0729,-1.3847
-0.5014,-1.1886,-0.4037,-1.5742,-0.2502,-1.286,-0.437,-0.2646,-0.3195,-1.1247,-1.69,-0.4595,-0.9191,-0.8305,-0.8269,-0.7585,-0.0606,-1.8937,-0.3599,-0.464,-1.6319,-1.4976,0.0226,-0.9033,-0.3294,0.0699,-1.7016,-1.3721,-0.2831,-1.765,0.7547,-0.23,-1.2066,0.2028,-0.1207,-1.0654,-0.2154,-1.3209,-1.3098,-1.7125,-1.4421,-1.0622,-1.7881,-0.4031,-0.7352,0.037,0.2408,-0.4556,-0.0666
