"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
-2.582,1.6114,2.5245,-1.9831,-0.0704,-0.3091,-1.4953,1.6181,-0.8758,2.3385,2.2344,-1.2339,-0.0196,-0.0521,1.7242,-2.6837,-0.1154,1.6402,-0.3886,1.4207,-0.3385,0.4208,0.5735,3.2178,-1.3072,-1.8142,0.6112,0.9211,-0.2759,2.9148,0.6891,-0.1609,-0.5234,0.4948,-0.7425,-1.4422,2.7468,0.1716,1.706,-0.8323,-0.2467,-0.3327,-1.409,0.6162,0.1347,0.0606,-0.2008,2.2889,-0.3877
-1.5982,0.5757,2.2174,-3.7606,0.3547,-1.0513,-1.4227,1.2562,0.488,0.7923,0.1054,0.0177,-0.8411,0.2599,1.1171,-2.7353,-0.4188,0.3681,-0.7846,1.3608,-0.7522,-0.6608,2.3799,1.5376,-1.1535,-0.9377,0.8034,0.4681,0.2616,-0.6876,-0.0177,0.4598,-0.162,0.2311,-0.1041,-2.051,1.2613,-0.3188,0.1951,-0.2484,-1.4885,0.0229,-2.0589,0.1465,-1.2414,-0.2366,-0.3356,1.9931,-0.1169
-1.7443,0.0783,1.3851,-2.5198,0.055,-0.1992,-1.8717,1.8777,-0.0083,-0.6113,0.0119,0.1556,-1.3409,-0.4251,0.1039,-1.8903,-0.4318,0.3154,-0.8601,-0.054,-0.3587,-1.2705,1.1911,0.7677,-0.1419,-1.1348,0.8184,-0.0733,-0.1292,-1.1911,-0.1543,0.5673,-0.3043,-0.1823,0.5206,-1.9384,-0.3009,-0.4226,-0.4945,-0.2005,-0.6472,-0.274,-1.9638,0.4464,-0.7826,-0.4087,-0.5839,1.4516,-0.1432
-1.2396,0.1292,-1.1033,0.4184,0.6866,0.9638,-1.4616,1.8196,-0.2536,1.0753,-0.2248,0.2374,-0.7578,-1.5447,-0.2482,-0.8225,-1.6344,-0.6573,-1.6748,1.2495,-0.1114,-1.0008,-0.138,-1.24,-1.0105,0.6455,0.2338,0.5061,-0.4336,0.3948,-0.5845,-0.1112,-0.8904,0.1371,0.0765,-1.2664,-1.0603,-0.8225,-0.3572,0.4249,0.2142,0.0278,-1.4746,0.9614,0.4202,-0.2974,-1.6369,0.928,-0.5697
-1.1445,0.7708,-1.0814,0.7989,0.7356,-0.0216,-1.0617,0.3505,0.3955,1.0997,-0.7378,0.1609,-0.4082,-0.4699,0.347,-0.7031,-0.6248,0.21,-0.5223,0.4975,1.7348,0.4328,-0.503,-0.7777,-0.2289,0.8762,1.0047,0.4063,0.8421,0.1787,-1.5925,-0.216,0.4816,0.8496,0.2768,-1.2458,-0.9868,-0.4189,1.186,1.522,0.2023,1.5938,-0.4515,1.544,0.867,-0.1826,-0.9891,0.8175,-0.4771
-1.2283,0.7547,-1.2563,-0.071,0.7588,0.7622,-0.1036,0.4087,0.6545,0.4965,-0.5887,0.2677,0.3568,-0.4186,-0.9594,-0.653,-0.1405,-0.5471,0.3156,-0.4533,1.4021,1.0201,-0.4798,0.402,-0.3416,0.319,2.2793,0.0741,0.232,0.0949,-0.7365,-0.6562,2.1059,1.0594,1.1465,-1.5253,-0.2745,-0.5394,1.5194,1.4218,0.1065,0.7962,-0.096,1.7628,1.3528,-0.2319,-0.4255,0.3362,-0.4828
-0.5231,1.059,-1.8616,-1.2217,0.1877,0.9626,0.057,1.8268,0.3208,0.4437,1.2554,1.6543,0.1373,-0.1186,-1.4102,-0.636,-0.5302,-1.2789,0.4015,-0.1633,1.1972,1.0581,-1.5303,0.2348,0.4689,-0.4555,2.1119,-1.3978,0.0432,-0.4768,0.0147,-1.186,1.6108,1.4313,1.9241,-1.5531,0.2589,0.1315,1.3905,1.3104,0.8812,-0.0566,0.5532,1.7654,1.1091,0.1387,-0.1108,0.5102,-0.7944
-1.0622,-0.0726,-2.4268,-1.1849,-0.8511,0.6599,0.3785,2.4553,0.452,-0.3476,0.7617,0.6696,0.0112,0.2479,-1.255,-1.5775,0.4277,-1.0364,0.3738,-0.4737,1.0888,0.7787,-1.4763,-0.6295,0.2703,-0.7808,2.083,-1.7512,0.7019,-0.5223,-0.4283,-1.8185,1.0091,1.2766,2.5005,-1.7972,0.5383,0.975,0.8496,0.2622,0.2562,-0.364,0.6408,1.8153,0.3944,0.3313,0.1574,0.7911,-0.7174
-1.2439,-0.2949,-1.6337,-0.7152,-2.1414,0.8803,0.7357,1.3409,-0.2494,-0.6849,2.7846,0.6178,-0.1478,-0.4327,-0.6484,-1.8945,0.7591,0.022,1.1721,0.1152,1.4326,1.5036,-1.7433,-0.0839,0.7915,-2.2235,1.8066,-1.3071,0.9911,-0.0789,0.0325,-2.6517,0.6104,1.0954,2.7083,-0.6427,0.8266,1.0528,1.0959,-0.6422,0.4813,-0.5713,1.2715,0.6285,0.3796,-0.6491,-0.0948,-0.0372,-1.2567
-0.7198,-1.2708,-1.2065,0.4841,-0.909,0.7837,1.1168,1.6477,0.2243,-0.2376,1.822,0.9654,-0.331,-1.0935,-1.0274,-0.9854,0.176,-1.2402,0.3434,0.9813,0.1096,0.6552,-0.8427,-0.5622,-0.2796,-1.1158,-0.0733,-0.5393,0.7347,-0.3086,0.1744,-0.863,0.6235,1.4811,0.4786,-0.2271,0.7573,0.3284,-0.3567,-1.4863,0.079,-0.4091,1.4668,-0.5159,0.7831,-0.9282,0.3954,-1.5883,-1.1468
