"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
0.3342,1.175,-0.5951,0.6097,-0.008,0.8005,-0.2544,-0.6784,0.4787,0.6786,1.1604,0.8191,-1.6063,0.5122,-0.5802,0.1523,-0.1666,-1.1062,0.3627,0.1818,0.3519,0.2662,0.5976,-1.5461,-0.1383,0.9859,-0.816,0.2783,1.3234,0.0104,0.007,-0.4536,-0.2449,1.1099,0.1967,-0.0835,2.3003,1.6756,1.7289,0.5734,1.7468,0.0379,1.3977,-0.0019,-0.8411,-1.0809,-1.5257,0.3465,1.0547
-0.7756,0.851,-0.6832,-0.0492,-1.193,0.4988,0.2716,-1.6315,0.2922,1.3931,1.5666,-0.0649,0.2728,0.0055,-0.5223,0.6646,-0.4519,-0.3256,0.5026,0.2013,0.4253,-0.1906,-1.3536,0.7568,-0.1399,0.0362,-0.369,0.7906,0.8058,1.5686,0.3707,-0.0185,0.4605,0.0766,-0.1464,0.2296,0.4039,1.6659,0.1026,0.3072,0.2969,-0.5081,0.9435,0.393,-0.4253,-0.8502,-0.8097,0.3042,0.3569
-0.5914,0.1118,-0.4985,-1.3337,0.1705,-1.0783,-0.2638,-0.8427,0.9098,1.0656,-0.0376,-0.6084,0.149,0.3648,0.1202,-0.6411,-0.5696,-0.0827,0.5104,0.801,0.5337,-0.3524,0.0614,0.9953,-0.6785,0.0184,1.2934,-0.6821,0.7326,0.0977,0.0946,1.0602,0.3922,-0.0609,0.2117,0.1593,0.5084,0.3953,-0.4144,0.1242,0.1234,0.2765,-0.8898,0.8199,-0.8387,-0.0678,-0.8364,0.5407,0.5838
0.6167,-0.2431,-1.4526,-0.953,0.6029,-0.7378,-1.2937,0.7821,0.7386,-0.627,-1.4721,-0.4501,-0.9802,-0.0947,-0.0259,-0.9655,0.0327,-0.4588,0.7895,0.398,-0.3291,0.3633,0.7111,0.2321,-0.5462,-0.6387,1.3715,-1.1524,0.1454,-0.695,0.4314,0.5449,-0.352,-0.7832,0.0337,-0.1837,-0.0961,-0.9311,-0.6666,0.5621,0.3725,0.1132,-1.1735,0.214,-0.8856,-0.7711,0.3659,0.4898,0.7107
0.1729,0.5546,-1.9373,-0.2452,-0.6807,-0.2893,-0.5926,0.3556,-0.1333,-0.5131,-0.1674,-0.8831,-0.6306,-0.7325,-1.2571,0.101,-0.5093,-0.3271,1.3197,0.3691,-0.7583,-0.3898,-2.4218,-1.0126,0.1988,-1.2742,-0.2172,-0.6762,-0.656,-1.6329,0.4713,-1.0721,-0.2669,-0.814,0.0608,-0.6383,-0.1413,-0.24,-0.175,-0.0716,0.3388,-1.3005,-0.1926,-0.1453,-0.0621,-0.3412,0.9959,0.3441,2.0522
-0.007,-0.8429,0.0512,-0.355,-0.1018,-0.5276,-2.1384,-0.0792,0.1108,-0.8824,-1.7891,-0.9539,-0.4287,0.0251,-0.7256,0.2058,0.7066,-0.269,0.9265,0.0375,0.0423,-0.9951,-0.6403,-1.471,-0.0024,0.2906,-0.2368,-1.6085,0.3449,-1.1411,0.0146,-0.52,-0.7667,-1.0828,-0.0281,-0.7358,-0.2999,-0.3126,-0.6287,-0.5732,0.2834,-0.6197,-1.5323,-0.5515,0.0078,-0.2342,-0.1717,-0.4256,0.5068
0.2842,-1.0378,0.178,0.2002,0.5639,0.8146,-0.755,0.0066,-0.5035,-0.3931,-0.9815,0.4526,0.6015,-0.1863,0.0662,0.5918,0.268,-0.2017,0.4197,-0.71,-0.3728,0.0376,-0.0912,1.0592,-0.0966,0.9272,-1.1061,-1.2504,0.5147,0.404,0.3582,-0.7541,-0.6583,0.3565,-0.0946,-0.75,-1.4175,-0.9465,-0.7589,0.5731,-0.4164,-0.6861,-1.1338,-0.2521,0.0833,-0.3374,0.2326,-1.2051,-0.9471
0.2937,-0.1951,-0.3184,-0.243,0.4957,1.2435,0.2464,0.0393,-0.8963,0.6206,0.4402,0.6474,0.2708,-0.0822,0.1666,0.6661,-0.7753,0.0804,0.5198,0.6562,-0.2468,-0.1429,-1.045,-0.348,-0.1321,1.0693,-0.734,0.8968,-0.0465,-0.1927,0.8365,0.0652,1.0876,0.9258,-0.5109,-0.3585,-0.7163,0.0929,-1.3174,0.0622,-0.5557,-0.2434,0.409,-0.2325,0.0274,-0.1982,0.2858,-1.7524,-0.7483
0.7824,-0.374,0.7746,-0.386,-0.0528,-0.199,-0.0894,0.2784,0.3771,0.635,0.5068,0.8096,0.2051,0.5168,0.8599,0.4544,0.804,0.5234,0.9796,0.7714,-0.1584,0.5166,-0.2972,0.5207,0.3579,1.2,0.7131,0.9353,-0.0616,0.1172,0.6861,0.1249,0.6696,0.4365,0.1159,-0.0365,-0.0927,0.3107,-0.8171,-0.4471,-0.6476,0.528,-0.629,0.2031,0.296,-0.4805,-0.9279,-1.5759,-0.5558
0.1252,-0.7189,-0.4227,-0.2582,-0.2379,0.8782,-1.6032,-0.4778,0.47,-1.2499,0.7667,0.5742,-0.5211,0.6726,-0.0884,0.6245,0.505,-0.5874,0.3157,-0.5515,1.0505,0.1976,-0.2162,-1.1205,-0.2818,-0.2289,-0.5988,0.6684,0.2022,0.153,0.3564,-0.876,0.9341,0.6335,0.2901,-0.0541,1.1062,-0.0194,0.6847,-0.243,0.6108,-0.3314,1.1072,-0.0794,-0.6112,-0.7649,-0.5711,-0.4837,0.3743
