"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
0.0736,-1.0006,-0.3473,-0.928,-0.8945,-0.6368,-0.6471,-0.3606,0.0622,-0.5791,-0.0657,-0.1101,-0.9967,-1.0759,-1.3413,-1.0808,-0.4055,-1.1242,-0.5538,-0.8136,-1.2807,-1.5138,-0.1075,-0.5036,-0.7728,-0.3444,-1.0013,-1.2165,-1.0591,-0.397,-1.0644,-0.4139,-1.2904,-0.8885,-1.2728,-1.0817,-0.6848,0.1185,-0.2549,-1.032,-1.489,-0.214,-1.4927,-1.4006,-0.5979,-0.6709,-0.17,-1.0488,-0.8058
-0.0253,-0.6347,-0.5903,-0.651,-0.4258,-0.6296,-0.4599,-0.5327,-0.0051,-0.6157,0.1809,0.1838,-1.0188,-1.2753,-0.9089,-0.9219,-0.7883,-1.1476,-0.7222,-0.5114,-1.1784,-1.2066,-0.0652,-0.4505,-0.9812,-0.0902,-0.7724,-0.996,-1.0724,-0.275,-0.6461,-0.3148,-0.8224,-0.3393,-1.5313,-1.0267,-0.679,0.2544,-0.7287,-0.9615,-1.218,-0.5812,-1.2004,-1.0876,-0.5225,-0.533,0.0582,-0.957,-0.5251
0.2956,-0.7582,-0.6321,-0.4419,-0.1557,-0.3091,-0.4313,0.0343,-0.0042,-0.4638,-0.6033,0.2697,-1.0898,-0.5698,-0.942,-0.5824,-0.3828,-0.3971,0.0632,-0.5463,-0.5284,-0.3643,-0.1687,-0.0722,-0.6739,0.4217,-0.5788,-0.982,0.1081,-0.3807,-0.2838,-0.2371,-0.1665,-0.2148,-0.6299,-1.2403,-0.5244,-0.7427,-0.4902,-0.9657,-0.8874,-0.1563,-1.1994,-0.1773,-0.3351,-0.355,-0.0693,-0.8241,-0.1631
0.0651,-0.7759,-0.8368,-0.5549,-0.3747,-0.0796,-0.2882,0.2434,0.1239,0.2811,-0.6742,0.25,-1.0045,0.5611,-1.0574,-0.6623,-0.2931,-0.0658,0.4351,-0.3845,-0.15,-0.5796,-0.9393,0.196,-0.3191,-0.3761,-0.3152,-0.8432,0.8573,-0.2965,0.6061,-0.6296,-0.1949,-0.094,1.1163,-0.7499,-0.162,-0.5286,0.0235,-0.4294,-0.843,-0.3363,-0.7006,-0.3757,0.0362,-0.0772,-1.1,-0.4287,0.1519
0.0772,-0.6269,-1.0132,-0.7786,-0.7295,-0.1379,0.0552,-0.0653,-0.0569,-0.2851,-0.7847,0.8968,-0.7036,0.7831,-0.8296,-0.6528,-0.1675,0.053,-0.038,-0.3985,0.0129,-0.9095,-1.138,-0.2105,-0.6086,-1.6076,-0.8987,-1.181,1.175,-0.6131,0.5421,-0.955,-0.1277,0.3321,1.3755,-0.5326,-0.6233,-0.8041,0.055,-0.2081,-0.7185,-0.3032,-0.2513,-0.7742,-0.3791,-0.339,-0.1777,-0.2895,0.0124
0.0691,-0.5032,-0.6851,-0.7451,-0.8735,0.4128,0.272,0.4843,-1.0836,-0.5605,-0.7061,0.3919,-0.6498,0.046,-0.9707,-0.1778,-0.6935,0.0466,-0.1966,-0.7994,-0.1049,-0.617,-1.4689,-0.1279,-0.5376,-2.1631,-0.5806,-0.9403,0.3046,-0.8554,-0.2511,-2.0403,-0.9662,0.0213,0.9281,-0.6403,-1.1003,-0.6727,-0.4818,-0.5855,-0.3597,-0.6353,0.0926,-0.8676,-0.6153,-0.6143,-0.0963,-0.6385,-0.4723
0.2175,-0.437,0.1946,-0.4094,-0.3284,0.6396,-0.2872,1.1832,-0.9325,-0.5937,-1.0831,0.1,-0.6063,-0.4649,-0.4897,-0.1248,-0.2546,0.1845,-0.2575,-0.6579,0.2053,-0.0268,-0.6807,0.039,0.1339,-0.6095,-0.3239,-0.3521,-0.0206,-0.643,-0.6682,-1.3113,-0.8181,-0.3584,0.2804,-0.3904,-1.0733,-0.9227,-0.6468,-0.6391,-0.5732,-0.1119,-0.6196,-0.4396,-0.4848,-0.7304,0.1659,-0.7599,-0.8942
0.1662,-0.0244,0.6419,-0.3293,0.0948,0.2568,-0.0699,0.8283,-0.1455,-0.0764,-0.4448,0.027,-0.3851,-0.3523,0.2664,-0.337,0.0773,0.2468,-0.2371,-0.1632,0.2526,-0.0451,0.0105,-0.3907,0.4777,-0.1267,-0.2917,0.132,-0.2561,-0.2972,-0.4252,-0.1739,-0.2829,-0.1091,-0.3332,0.3462,-0.5869,0.4266,-0.3045,-0.144,-0.444,0.4722,-0.2934,-0.3646,-0.4104,-0.3437,-0.0825,-0.4688,-0.6534
0.3997,0.3225,0.4607,-0.082,0.2856,0.3973,0.181,0.6081,-0.0808,-0.2547,0.0215,0.2869,0.121,-0.621,0.6416,0.1438,-0.2362,0.1845,-0.3447,0.2726,0.372,0.2089,-0.0509,-0.1189,0.3445,0.1126,-0.1208,0.4722,-0.6231,-0.1261,-0.2433,0.0253,-0.1109,0.2122,-0.6204,0.4187,-0.425,0.8032,-0.8212,-0.1525,-0.1089,0.1398,-0.0247,-0.1386,-0.0879,-0.0702,-0.1756,-0.3378,-0.4756
0.6142,0.4442,0.7461,0.0366,0.3751,0.4159,0.1322,1.0682,-0.0855,0.0593,-0.4417,0.2734,0.1235,-0.3415,0.428,0.5552,0.2723,0.352,0.0199,0.2964,0.6141,0.8546,0.1299,-0.0676,0.5761,0.9604,-0.1732,0.5785,-0.2894,-0.188,-0.1324,-0.1841,-0.1481,0.338,0.0425,0.4547,-0.5502,0.2433,-0.3847,-0.1551,0.2057,0.8506,-0.0177,0.391,0.2171,-0.4248,0.3412,-0.3185,0.1173
