, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 
IC05, 40.0, 36.0, 44.0, 87.0, 82.0, 63.0, 20.0, 35.0, 79.0, 77.0, 27.0, 2.0, 26.0, 78.0, 65.0, 48.0, 49.0, 16.0, 37.0, 52.0, 55.0, 38.0, 55.0, 98.0, 92.0, 8.0, 0.0, 3.0, 18.0, 7.0, 3.0, 53.0, 84.0, 59.0, 68.0, 78.0, 80.0, 54.0, 72.0, 69.0, 18.0, 70.0, 50.0, 39.0, 52.0, 36.0, 30.0, 75.0, 43.0, 27.0, 43.0, 50.0, 95.0, 93.0, 79.0, 88.0, 73.0, 94.0, 83.0, 87.0, 89.0, 30.0, 53.0, 19.0, 70.0, 75.0, 23.0, 74.0, 46.0, 19.0, 31.0, 42.0, 20.0, 1.0, 76.0, 1.0, 0.0, 2.0, 3.0, 4.0, 9.0, 6.0, 18.0, 31.0, 5.0, 54.0, 81.0, 81.0, 54.0, 4.0, 88.0, 77.0, 50.0, 32.0, 30.0, 99.0, 99.0, 95.0, 93.0, 97.0, 94.0, 80.0, 51.0, 80.0, 2.0, 96.0, 91.0, 52.0, 68.0, 25.0, 63.0, 51.0, 55.0, 4.0, 1.0, 11.0, 34.0, 61.0, 25.0, 11.0, 33.0, 24.0, 62.0, 45.0, 53.0, 45.0, 69.0, 77.0, 76.0, 38.0, 19.0, 5.0, 21.0, 67.0, 63.0, 69.0, 10.0, 79.0, 94.0, 78.0, 45.0, 81.0, 17.0, 25.0, 62.0, 44.0, 56.0, 11.0, 12.0, 5.0, 6.0, 13.0, 28.0, 44.0, 29.0, 36.0, 76.0, 86.0, 87.0, 31.0, 43.0, 56.0, 68.0, 41.0, 64.0, 88.0, 60.0, 14.0, 47.0, 95.0, 93.0, 61.0, 28.0, 27.0, 29.0, 15.0, 37.0, 12.0, 13.0, 28.0, 86.0, 90.0, 61.0, 26.0, 37.0, 85.0, 71.0, 70.0, 13.0, 6.0, 75.0, 66.0, 26.0, 86.0, 56.0, 12.0, 20.0, 58.0, 62.0, 22.0, 38.0, 57.0, 29.0, 51.0, 
IC08, 74.0, 89.0, 86.0, 97.0, 81.0, 46.0, 18.0, 30.0, 55.0, 5.0, 1.0, 6.0, 33.0, 45.0, 33.0, 56.0, 83.0, 36.0, 33.0, 46.0, 42.0, 63.0, 64.0, 98.0, 64.0, 24.0, 2.0, 51.0, 78.0, 64.0, 39.0, 85.0, 73.0, 5.0, 13.0, 32.0, 57.0, 25.0, 17.0, 52.0, 80.0, 88.0, 60.0, 70.0, 97.0, 90.0, 28.0, 43.0, 39.0, 94.0, 56.0, 11.0, 57.0, 80.0, 47.0, 62.0, 49.0, 53.0, 12.0, 3.0, 72.0, 32.0, 46.0, 31.0, 20.0, 54.0, 18.0, 53.0, 4.0, 0.0, 11.0, 4.0, 25.0, 79.0, 95.0, 67.0, 101.0, 99.0, 79.0, 7.0, 53.0, 63.0, 87.0, 90.0, 80.0, 88.0, 37.0, 39.0, 59.0, 45.0, 79.0, 61.0, 41.0, 19.0, 25.0, 65.0, 15.0, 5.0, 63.0, 83.0, 95.0, 13.0, 12.0, 34.0, 2.0, 77.0, 26.0, 9.0, 32.0, 57.0, 72.0, 70.0, 71.0, 81.0, 25.0, 19.0, 12.0, 13.0, 65.0, 54.0, 84.0, 93.0, 82.0, 47.0, 96.0, 76.0, 40.0, 48.0, 45.0, 26.0, 78.0, 54.0, 69.0, 58.0, 23.0, 55.0, 6.0, 29.0, 82.0, 52.0, 8.0, 31.0, 38.0, 56.0, 81.0, 31.0, 14.0, 3.0, 22.0, 26.0, 77.0, 96.0, 91.0, 18.0, 10.0, 27.0, 65.0, 16.0, 83.0, 101.0, 100.0, 77.0, 3.0, 21.0, 55.0, 89.0, 58.0, 11.0, 35.0, 66.0, 58.0, 52.0, 68.0, 75.0, 92.0, 89.0, 71.0, 78.0, 38.0, 38.0, 72.0, 20.0, 1.0, 0.0, 4.0, 25.0, 2.0, 1.0, 6.0, 40.0, 96.0, 70.0, 47.0, 40.0, 71.0, 88.0, 44.0, 82.0, 97.0, 50.0, 95.0, 90.0, 19.0, 20.0, 
IC09, 31.0, 28.0, 53.0, 53.0, 70.0, 50.0, 21.0, 28.0, 36.0, 59.0, 25.0, 42.0, 87.0, 94.0, 97.0, 96.0, 88.0, 72.0, 56.0, 33.0, 38.0, 29.0, 10.0, 18.0, 2.0, 9.0, 40.0, 25.0, 37.0, 31.0, 3.0, 11.0, 44.0, 44.0, 20.0, 22.0, 61.0, 83.0, 93.0, 93.0, 78.0, 85.0, 61.0, 17.0, 32.0, 69.0, 81.0, 80.0, 84.0, 87.0, 87.0, 92.0, 78.0, 55.0, 4.0, 1.0, 6.0, 61.0, 76.0, 77.0, 60.0, 76.0, 57.0, 29.0, 5.0, 18.0, 51.0, 14.0, 7.0, 4.0, 2.0, 2.0, 0.0, 4.0, 1.0, 73.0, 89.0, 90.0, 80.0, 30.0, 52.0, 91.0, 88.0, 79.0, 80.0, 62.0, 45.0, 12.0, 5.0, 36.0, 53.0, 24.0, 5.0, 12.0, 37.0, 27.0, 43.0, 52.0, 48.0, 55.0, 51.0, 74.0, 77.0, 68.0, 76.0, 81.0, 95.0, 94.0, 86.0, 65.0, 13.0, 51.0, 43.0, 11.0, 50.0, 63.0, 79.0, 94.0, 79.0, 75.0, 77.0, 86.0, 63.0, 31.0, 6.0, 54.0, 62.0, 13.0, 34.0, 19.0, 11.0, 68.0, 69.0, 28.0, 3.0, 16.0, 54.0, 54.0, 68.0, 63.0, 23.0, 0.0, 8.0, 49.0, 20.0, 3.0, 1.0, 6.0, 15.0, 26.0, 26.0, 38.0, 35.0, 30.0, 56.0, 82.0, 99.0, 99.0, 98.0, 81.0, 29.0, 39.0, 45.0, 66.0, 78.0, 62.0, 70.0, 86.0, 95.0, 95.0, 93.0, 75.0, 55.0, 20.0, 27.0, 18.0, 27.0, 30.0, 58.0, 50.0, 43.0, 52.0, 12.0, 44.0, 64.0, 46.0, 38.0, 26.0, 13.0, 47.0, 25.0, 19.0, 19.0, 69.0, 75.0, 56.0, 70.0, 88.0, 71.0, 67.0, 36.0, 37.0, 45.0, 41.0, 
IC15, 11.0, 18.0, 69.0, 39.0, 31.0, 23.0, 22.0, 15.0, 36.0, 93.0, 71.0, 25.0, 1.0, 49.0, 53.0, 55.0, 19.0, 66.0, 30.0, 36.0, 83.0, 99.0, 99.0, 97.0, 13.0, 24.0, 53.0, 20.0, 45.0, 80.0, 70.0, 54.0, 68.0, 65.0, 52.0, 37.0, 54.0, 18.0, 10.0, 4.0, 2.0, 44.0, 91.0, 93.0, 77.0, 79.0, 87.0, 61.0, 64.0, 53.0, 76.0, 88.0, 78.0, 19.0, 11.0, 47.0, 31.0, 34.0, 32.0, 2.0, 5.0, 54.0, 59.0, 29.0, 20.0, 61.0, 78.0, 73.0, 77.0, 87.0, 26.0, 12.0, 12.0, 44.0, 2.0, 27.0, 75.0, 61.0, 45.0, 55.0, 18.0, 29.0, 16.0, 50.0, 38.0, 20.0, 68.0, 30.0, 48.0, 80.0, 88.0, 90.0, 86.0, 81.0, 62.0, 29.0, 63.0, 76.0, 82.0, 76.0, 51.0, 28.0, 75.0, 36.0, 7.0, 8.0, 6.0, 56.0, 13.0, 27.0, 63.0, 84.0, 67.0, 74.0, 21.0, 5.0, 6.0, 3.0, 9.0, 50.0, 14.0, 26.0, 58.0, 78.0, 77.0, 94.0, 95.0, 93.0, 94.0, 94.0, 88.0, 80.0, 92.0, 72.0, 42.0, 25.0, 68.0, 50.0, 19.0, 44.0, 13.0, 55.0, 69.0, 86.0, 62.0, 12.0, 11.0, 4.0, 0.0, 1.0, 1.0, 0.0, 3.0, 33.0, 69.0, 52.0, 38.0, 37.0, 46.0, 5.0, 4.0, 43.0, 56.0, 85.0, 89.0, 62.0, 70.0, 95.0, 95.0, 79.0, 96.0, 98.0, 87.0, 81.0, 28.0, 43.0, 28.0, 27.0, 51.0, 86.0, 70.0, 80.0, 81.0, 75.0, 51.0, 63.0, 38.0, 31.0, 17.0, 43.0, 40.0, 45.0, 30.0, 56.0, 41.0, 26.0, 35.0, 37.0, 60.0, 57.0, 52.0, 25.0, 3.0, 6.0, 
IC16, 11.0, 62.0, 36.0, 38.0, 37.0, 8.0, 1.0, 1.0, 16.0, 27.0, 54.0, 75.0, 92.0, 93.0, 94.0, 51.0, 69.0, 56.0, 69.0, 87.0, 96.0, 95.0, 84.0, 97.0, 79.0, 50.0, 27.0, 2.0, 80.0, 81.0, 41.0, 53.0, 43.0, 11.0, 21.0, 18.0, 50.0, 45.0, 54.0, 78.0, 45.0, 29.0, 68.0, 43.0, 66.0, 25.0, 3.0, 35.0, 3.0, 2.0, 19.0, 7.0, 68.0, 74.0, 55.0, 76.0, 17.0, 36.0, 28.0, 19.0, 81.0, 26.0, 33.0, 6.0, 40.0, 47.0, 5.0, 48.0, 1.0, 0.0, 9.0, 32.0, 64.0, 95.0, 99.0, 88.0, 99.0, 98.0, 93.0, 53.0, 94.0, 79.0, 63.0, 88.0, 72.0, 75.0, 58.0, 30.0, 19.0, 20.0, 78.0, 28.0, 30.0, 5.0, 5.0, 81.0, 38.0, 4.0, 24.0, 71.0, 67.0, 20.0, 13.0, 68.0, 0.0, 86.0, 63.0, 46.0, 62.0, 12.0, 52.0, 44.0, 23.0, 49.0, 25.0, 36.0, 75.0, 86.0, 76.0, 65.0, 89.0, 77.0, 86.0, 73.0, 50.0, 6.0, 43.0, 77.0, 38.0, 27.0, 18.0, 2.0, 44.0, 76.0, 26.0, 13.0, 11.0, 55.0, 70.0, 61.0, 6.0, 28.0, 18.0, 22.0, 69.0, 44.0, 15.0, 31.0, 39.0, 63.0, 94.0, 87.0, 88.0, 80.0, 70.0, 91.0, 93.0, 82.0, 80.0, 55.0, 51.0, 14.0, 42.0, 61.0, 59.0, 85.0, 62.0, 25.0, 87.0, 90.0, 53.0, 51.0, 60.0, 10.0, 56.0, 77.0, 37.0, 37.0, 29.0, 3.0, 29.0, 12.0, 13.0, 26.0, 4.0, 70.0, 30.0, 4.0, 20.0, 31.0, 56.0, 52.0, 12.0, 61.0, 57.0, 45.0, 54.0, 52.0, 79.0, 78.0, 83.0, 95.0, 34.0, 31.0, 
IC17, 80.0, 20.0, 61.0, 45.0, 52.0, 68.0, 55.0, 70.0, 85.0, 76.0, 62.0, 2.0, 0.0, 1.0, 37.0, 88.0, 41.0, 86.0, 44.0, 30.0, 69.0, 99.0, 99.0, 95.0, 5.0, 27.0, 36.0, 55.0, 22.0, 84.0, 93.0, 64.0, 20.0, 21.0, 76.0, 78.0, 34.0, 4.0, 5.0, 38.0, 65.0, 71.0, 75.0, 79.0, 15.0, 35.0, 51.0, 3.0, 54.0, 33.0, 20.0, 31.0, 3.0, 43.0, 51.0, 55.0, 37.0, 39.0, 93.0, 45.0, 83.0, 91.0, 12.0, 43.0, 12.0, 26.0, 87.0, 86.0, 92.0, 80.0, 40.0, 9.0, 8.0, 63.0, 1.0, 31.0, 69.0, 79.0, 77.0, 81.0, 68.0, 58.0, 54.0, 3.0, 2.0, 28.0, 51.0, 23.0, 69.0, 94.0, 36.0, 93.0, 62.0, 76.0, 73.0, 30.0, 87.0, 89.0, 53.0, 25.0, 50.0, 49.0, 67.0, 10.0, 28.0, 66.0, 53.0, 38.0, 0.0, 61.0, 56.0, 11.0, 4.0, 38.0, 29.0, 7.0, 52.0, 1.0, 26.0, 98.0, 97.0, 74.0, 46.0, 70.0, 57.0, 88.0, 18.0, 11.0, 44.0, 19.0, 50.0, 47.0, 28.0, 81.0, 95.0, 75.0, 90.0, 52.0, 6.0, 4.0, 25.0, 82.0, 87.0, 54.0, 14.0, 42.0, 70.0, 53.0, 50.0, 24.0, 29.0, 19.0, 80.0, 95.0, 63.0, 48.0, 5.0, 2.0, 13.0, 11.0, 29.0, 88.0, 81.0, 96.0, 60.0, 31.0, 16.0, 44.0, 79.0, 13.0, 86.0, 56.0, 18.0, 75.0, 13.0, 27.0, 17.0, 61.0, 6.0, 59.0, 36.0, 32.0, 37.0, 77.0, 30.0, 27.0, 56.0, 77.0, 72.0, 94.0, 78.0, 78.0, 25.0, 26.0, 62.0, 94.0, 6.0, 12.0, 43.0, 45.0, 19.0, 18.0, 63.0, 68.0, 
IC18, 2.0, 53.0, 63.0, 88.0, 2.0, 9.0, 28.0, 37.0, 54.0, 61.0, 84.0, 70.0, 86.0, 29.0, 79.0, 46.0, 87.0, 39.0, 52.0, 21.0, 95.0, 61.0, 56.0, 55.0, 50.0, 3.0, 1.0, 12.0, 70.0, 30.0, 51.0, 63.0, 29.0, 44.0, 30.0, 71.0, 76.0, 49.0, 98.0, 94.0, 51.0, 81.0, 6.0, 77.0, 68.0, 5.0, 20.0, 18.0, 8.0, 70.0, 27.0, 4.0, 80.0, 55.0, 36.0, 51.0, 62.0, 95.0, 50.0, 10.0, 45.0, 31.0, 96.0, 43.0, 69.0, 54.0, 28.0, 78.0, 11.0, 19.0, 89.0, 92.0, 90.0, 91.0, 80.0, 13.0, 31.0, 35.0, 1.0, 2.0, 18.0, 7.0, 83.0, 73.0, 16.0, 87.0, 44.0, 65.0, 60.0, 13.0, 66.0, 3.0, 4.0, 0.0, 32.0, 93.0, 61.0, 76.0, 79.0, 77.0, 45.0, 4.0, 62.0, 53.0, 77.0, 99.0, 56.0, 86.0, 56.0, 37.0, 57.0, 26.0, 38.0, 12.0, 47.0, 88.0, 52.0, 55.0, 88.0, 19.0, 62.0, 34.0, 38.0, 64.0, 23.0, 12.0, 86.0, 95.0, 33.0, 24.0, 14.0, 18.0, 85.0, 36.0, 1.0, 15.0, 5.0, 38.0, 97.0, 74.0, 44.0, 67.0, 20.0, 59.0, 63.0, 17.0, 6.0, 28.0, 40.0, 87.0, 80.0, 69.0, 78.0, 29.0, 3.0, 42.0, 75.0, 78.0, 93.0, 41.0, 72.0, 43.0, 68.0, 26.0, 31.0, 79.0, 36.0, 27.0, 25.0, 58.0, 25.0, 5.0, 43.0, 27.0, 52.0, 53.0, 22.0, 30.0, 26.0, 13.0, 82.0, 81.0, 68.0, 25.0, 76.0, 93.0, 50.0, 94.0, 75.0, 45.0, 94.0, 48.0, 99.0, 81.0, 20.0, 19.0, 6.0, 37.0, 54.0, 0.0, 69.0, 75.0, 11.0, 11.0, 
IC19, 51.0, 63.0, 43.0, 33.0, 27.0, 69.0, 70.0, 31.0, 61.0, 38.0, 26.0, 31.0, 20.0, 62.0, 87.0, 68.0, 76.0, 19.0, 59.0, 37.0, 39.0, 53.0, 66.0, 54.0, 34.0, 44.0, 3.0, 32.0, 51.0, 28.0, 12.0, 31.0, 38.0, 36.0, 37.0, 4.0, 29.0, 52.0, 45.0, 70.0, 54.0, 78.0, 92.0, 72.0, 75.0, 79.0, 90.0, 94.0, 93.0, 94.0, 75.0, 70.0, 80.0, 78.0, 44.0, 91.0, 88.0, 85.0, 43.0, 76.0, 46.0, 5.0, 6.0, 1.0, 2.0, 18.0, 17.0, 10.0, 5.0, 77.0, 93.0, 57.0, 38.0, 16.0, 9.0, 69.0, 56.0, 54.0, 89.0, 93.0, 68.0, 50.0, 44.0, 61.0, 53.0, 77.0, 79.0, 63.0, 7.0, 3.0, 21.0, 28.0, 8.0, 11.0, 43.0, 30.0, 18.0, 11.0, 18.0, 13.0, 4.0, 1.0, 1.0, 0.0, 12.0, 73.0, 86.0, 95.0, 97.0, 99.0, 99.0, 98.0, 96.0, 84.0, 95.0, 87.0, 71.0, 68.0, 82.0, 56.0, 62.0, 88.0, 80.0, 3.0, 6.0, 0.0, 4.0, 51.0, 2.0, 2.0, 49.0, 67.0, 20.0, 26.0, 62.0, 41.0, 22.0, 37.0, 29.0, 65.0, 48.0, 55.0, 58.0, 42.0, 50.0, 14.0, 60.0, 52.0, 74.0, 27.0, 55.0, 50.0, 81.0, 19.0, 29.0, 11.0, 25.0, 12.0, 30.0, 19.0, 55.0, 28.0, 13.0, 69.0, 15.0, 30.0, 23.0, 95.0, 80.0, 35.0, 45.0, 45.0, 76.0, 53.0, 47.0, 86.0, 81.0, 87.0, 77.0, 79.0, 88.0, 86.0, 83.0, 94.0, 61.0, 78.0, 56.0, 81.0, 52.0, 24.0, 20.0, 5.0, 25.0, 64.0, 63.0, 75.0, 36.0, 26.0, 27.0, 13.0, 6.0, 36.0, 25.0, 40.0, 
IC20, 55.0, 63.0, 87.0, 70.0, 23.0, 2.0, 33.0, 83.0, 89.0, 45.0, 29.0, 76.0, 31.0, 25.0, 81.0, 42.0, 32.0, 54.0, 60.0, 85.0, 80.0, 58.0, 55.0, 5.0, 54.0, 2.0, 50.0, 52.0, 11.0, 28.0, 44.0, 25.0, 36.0, 19.0, 27.0, 75.0, 72.0, 34.0, 18.0, 62.0, 75.0, 14.0, 56.0, 77.0, 25.0, 30.0, 20.0, 5.0, 31.0, 48.0, 52.0, 70.0, 63.0, 68.0, 26.0, 8.0, 20.0, 19.0, 43.0, 66.0, 86.0, 78.0, 35.0, 51.0, 81.0, 88.0, 93.0, 97.0, 96.0, 95.0, 98.0, 98.0, 94.0, 85.0, 76.0, 1.0, 38.0, 67.0, 11.0, 1.0, 3.0, 29.0, 12.0, 4.0, 18.0, 16.0, 38.0, 29.0, 6.0, 55.0, 44.0, 28.0, 0.0, 0.0, 26.0, 53.0, 50.0, 13.0, 77.0, 63.0, 68.0, 31.0, 21.0, 69.0, 83.0, 70.0, 37.0, 45.0, 85.0, 84.0, 61.0, 51.0, 51.0, 28.0, 69.0, 87.0, 93.0, 93.0, 92.0, 82.0, 12.0, 20.0, 76.0, 43.0, 27.0, 45.0, 74.0, 86.0, 44.0, 39.0, 37.0, 62.0, 65.0, 71.0, 17.0, 13.0, 26.0, 43.0, 22.0, 50.0, 54.0, 4.0, 30.0, 36.0, 56.0, 54.0, 13.0, 11.0, 15.0, 49.0, 81.0, 84.0, 94.0, 57.0, 53.0, 18.0, 24.0, 30.0, 47.0, 73.0, 81.0, 79.0, 62.0, 69.0, 68.0, 52.0, 27.0, 41.0, 82.0, 77.0, 64.0, 12.0, 7.0, 2.0, 1.0, 3.0, 6.0, 3.0, 6.0, 5.0, 37.0, 40.0, 61.0, 91.0, 90.0, 92.0, 83.0, 82.0, 92.0, 86.0, 56.0, 36.0, 87.0, 94.0, 84.0, 61.0, 75.0, 46.0, 19.0, 38.0, 59.0, 9.0, 10.0, 4.0, 
IC23, 10.0, 27.0, 52.0, 59.0, 16.0, 50.0, 9.0, 28.0, 80.0, 54.0, 15.0, 2.0, 11.0, 27.0, 39.0, 63.0, 75.0, 44.0, 79.0, 6.0, 75.0, 77.0, 97.0, 88.0, 54.0, 89.0, 45.0, 60.0, 94.0, 76.0, 94.0, 95.0, 73.0, 71.0, 69.0, 62.0, 55.0, 26.0, 52.0, 13.0, 24.0, 72.0, 49.0, 35.0, 25.0, 13.0, 76.0, 63.0, 4.0, 58.0, 19.0, 1.0, 37.0, 38.0, 90.0, 14.0, 0.0, 87.0, 29.0, 13.0, 65.0, 51.0, 77.0, 7.0, 28.0, 47.0, 12.0, 81.0, 56.0, 19.0, 12.0, 26.0, 36.0, 25.0, 61.0, 34.0, 69.0, 99.0, 86.0, 56.0, 63.0, 27.0, 87.0, 81.0, 20.0, 19.0, 1.0, 44.0, 88.0, 67.0, 85.0, 51.0, 84.0, 23.0, 5.0, 37.0, 17.0, 93.0, 55.0, 22.0, 78.0, 26.0, 70.0, 30.0, 29.0, 93.0, 21.0, 88.0, 45.0, 33.0, 62.0, 46.0, 96.0, 79.0, 40.0, 93.0, 31.0, 4.0, 69.0, 48.0, 80.0, 36.0, 3.0, 43.0, 31.0, 2.0, 20.0, 61.0, 92.0, 76.0, 3.0, 0.0, 82.0, 53.0, 44.0, 95.0, 43.0, 11.0, 69.0, 8.0, 5.0, 95.0, 68.0, 12.0, 37.0, 55.0, 45.0, 6.0, 25.0, 50.0, 64.0, 53.0, 77.0, 80.0, 29.0, 11.0, 28.0, 74.0, 30.0, 2.0, 87.0, 62.0, 94.0, 57.0, 18.0, 99.0, 98.0, 61.0, 6.0, 91.0, 79.0, 31.0, 86.0, 51.0, 32.0, 78.0, 50.0, 78.0, 5.0, 42.0, 81.0, 18.0, 56.0, 52.0, 36.0, 41.0, 38.0, 83.0, 38.0, 30.0, 70.0, 18.0, 75.0, 53.0, 43.0, 86.0, 4.0, 3.0, 54.0, 1.0, 66.0, 68.0, 20.0, 70.0, 
