,10,30,50,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,270,290
YAL001C,-0.16,0.09,-0.23,0.03,-0.04,-0.12,-0.28,-0.44,-0.09,0.12,0.06,-0.04,0.31,0.59,0.34,-0.28,-0.09,-0.44,0.31,0.03,0.57,0,0.02,-0.26
YAL002W,-1.179340583,0.201143543,0.260853874,-0.58,0.23,-0.23,0.08,-0.62,0.55,-0.32,0.03,-0.56,0.47,-0.15,0.49,-0.088137784,0.23,-0.49,0.33,0.18,0.65,-0.29,0.403538127,0.401942824
YAL003W,-0.37,-0.22,-0.16,0.04,0.53,-0.25,0.08,-0.24,0.37,-0.22,0.16,-0.21,0.03,0.03,0.48,-0.003161284,0.22,-0.06,0.08,0.56,0.48,-0.47,-0.45,-0.41
YAL005C,-0.43,-1.33,-1.53,-1.53,-0.37,-1.65,-0.71,-1.53,-0.1,-1.15,-0.33,-1.15,-0.19,-0.84,0.52,0.007940772,1.18,0.88,1.8,2.24,2.34,1.43,1.27,1.18
YAL007C,0.238304897,0.253121767,0.009281019,0.14,0.58,0.25,0.03,-1,0,-0.41,0.1,0.14,0.4,0.2,0.24,-0.300786202,0.26,-0.39,0.43,-0.26,-0.33,-0.37,-0.494774914,0.284853433
YAL008W,-0.2,0.04,-0.27,-0.4,0.44,-0.73,0.03,-0.69,0.55,-0.53,0.1,-0.2,0.29,-0.15,0.6,-0.024383257,0.07,-0.31,0.3,0.5,0.82,-0.08,-0.13,-0.04
YAL009W,-0.000641468,-0.02,0,0.07,0.14,0.17,0.23,0.19,-0.1,0,-0.21,0.01,-0.13,-1.38,0.16,0.05,0.29,0.04,0.39,-0.21,0.29,0,0,0.03
YAL010C,-0.24,-0.06,-0.11,-0.25,0.4,-0.52,0.19,-0.31,0.63,-0.31,0.15,-0.27,0.5,-0.14,0.46,-0.0012253,0.13,-0.56,0.19,0.71,0.73,-0.4,-0.4,-0.52
YAL011W,-0.236520436,0.901597112,-0.054811648,-0.29,-0.09,0.02,0.29,-0.52,0.02,-0.15,0.06,-0.17,0.51,-0.2,0.25,-0.11971073,-0.14,-0.22,0.23,0.23,0.36,-0.19,-0.609641879,0.119087581
YAL012W,-0.5,-0.94,-0.58,-0.04,0.72,-0.43,-0.07,-0.66,0.5,-0.31,0.29,-0.01,0.76,-0.15,0.54,0.015889832,0.38,-0.2,0.86,0.14,0.81,-0.33,-0.36,-0.43
YAL013W,-0.390477314,-0.096738236,0.391321478,-0.02,0.06,0.35,0.01,-0.26,-0.07,0.16,-0.26,-0.31,-0.32,-0.14,-0.06,-0.279818306,-0.02,0.03,0.34,0.41,-0.11,0.23,0.262309002,0.093403377
YAL014C,0.02,0.34,0.09,-0.04,-0.04,-0.02,-0.51,-0.08,0,0.46,-0.19,0.04,0.18,-0.3,-0.38,0.07,-0.04,0.13,-0.06,-0.26,-0.1,0.27,0.2,0.22
YAL015C,0.012311104,0.08,0.11,-0.49,0.25,-0.04,0.55,0.17,0.33,-0.09,-0.49,0.16,-1.35,-0.39,0.42,-0.31,0.14,0.08,0.54,0.65,0.25,-0.16,-0.58,0.14
YAL016W,0.16,0.15,0.15,0.29,-0.1,0.15,-0.73,0.19,-0.15,0.29,-0.08,0.16,-0.05,0.12,-0.17,0.11,-0.15,0.03,-0.26,-0.34,-0.34,0.25,0.13,0.2
YAL017W,0.015036507,-0.69,-0.56,0.03,0.71,-0.14,0.1,-0.15,-0.04,-0.15,-0.18,-0.12,0.34,0.07,0.16,-0.11,0.4,-0.36,0.3,0.31,0.41,-0.01,-0.25,-0.08
YAL018C,-0.36,0.61,0.23,-0.57,0.54,-0.86,0.59,-0.17,0.31,-0.17,0.39,-0.301787665,0.29,0.030987445,0.81,-1.06,0.527791416,-0.15,1.04,0.54,-0.276991175,-0.96,-0.17,-0.86
YAL019W,0.010965133,0.36,0.06,-0.18,0.11,0.09,0.22,0.07,0.07,0.32,-0.07,-0.28,-0.35,-0.2,-0.08,-0.05,0.09,-0.42,0.42,0.52,0.42,-0.42,-0.2,-0.51
YAL020C,-0.38,-0.42,-0.28,-0.15,0.16,-0.12,0.26,0,0.13,-0.2,-0.07,-0.05,0.43,0.07,0.61,-0.2,0.49,-0.43,0.8,-0.47,1.01,-0.36,-0.45,-0.38
YAL021C,0.032711102,0.17,0.22,-0.09,0.19,-0.17,0.16,-0.12,0.25,-0.05,-0.14,-0.42,0.19,-0.03,0.25,-0.2,0.17,-0.48,0.58,0.11,0.48,-0.38,-0.2,-0.52
YAL022C,0.13,-0.24,-0.59,-0.57,-0.09,-0.34,0.49,0.32,1.15,0.2,0.31,-0.28,-0.01,-0.48,-0.4,-0.59,0.54,-0.09,1.03,0.08,0.57,-0.26,-0.36,-0.55
YAL023C,-0.006907355,-0.35,-0.06,0.04,0.43,-0.03,-0.01,-0.43,-0.03,-0.23,-0.06,0.14,0.43,0.06,0.27,-0.18,0.54,-0.3,0.44,-0.14,0.21,-0.43,0.26,-0.57
YAL024C,-0.48,-0.08,-0.23,0.62,0.47,-0.12,-0.44,0.74,0.28,0.51,-0.19,0.58,0.82,0.88,-0.3,-0.19,0.021559884,0.07,-0.44,-0.66,-0.15,-1.23,0.37,-0.84
YAL025C,-0.013235538,1.04,0.62,-0.04,-0.66,0.45,-0.12,0.52,-0.71,0.46,-0.59,0.07,-0.97,0,-0.97,0.59,-0.4,0.24,-0.38,0.74,-0.94,0.61,0.03,0.42
YAL026C,-0.21,-0.23,-0.16,-0.14,0.7,-0.43,0.32,-0.16,0.59,-0.18,0.37,-0.31,0.54,-0.76,0.37,-0.00539549,0.1,-0.37,0.49,0.46,0.04,-0.29,-0.35,-0.39
YAL027W,0.326889657,-0.26566586,0.837623931,-0.56,0.05,-0.47,0.13,-0.37,0.14,-0.01,0.06,-0.22,-0.03,0.18,0.48,-0.017116956,-0.24,-0.03,0.47,0.24,0.26,-0.09,-0.81639321,-0.055337561
YAL028W,-0.307309683,0.132464979,0.29179323,-0.82,0.07,-0.7,-0.18,-1.45,0.2,-0.7,0.39,-0.3,0.51,-0.1,0.26,0.360810172,0.45,0.02,1.05,0.45,0.79,0.09,-0.288386028,-0.21937267
YAL029C,-0.26,-0.4,-0.13,-0.19,0.4,-0.54,0.17,-0.09,0.58,-0.36,0.29,-0.58,0.62,-0.06,0.26,-0.017332056,0.46,-0.22,0.45,0.41,0.43,-0.46,-0.42,-0.34
YAL030W,0.096439475,-0.231505709,-0.364122061,-0.487580905,-0.535175857,0.017327504,-0.30533864,0.560680438,-0.081676619,0.32,-0.171572916,0.008194632,0.988963801,-0.32,-0.374062628,0.620388535,0.238857968,0.312748958,0.294665099,0.047255822,0.267944138,-0.094282355,-0.710714931,-0.097433749
YAL031C,-0.63,-0.37,-0.3,-0.15,0.33,-0.41,-0.17,-0.2,0.62,-0.37,0.36,-0.41,0.39,-0.08,0.63,-0.028395822,-0.17,-0.28,0.29,0.71,0.74,-0.11,-0.09,-0.3
YAL032C,0.098849924,-0.201810808,0.048578376,-0.24,-0.05,-0.07,0.09,-0.21,0.15,0.06,0.04,-0.18,-0.49,-0.13,-0.06,0.492376401,0.13,0.21,0.43,0.32,0.09,-0.09,-0.323977979,-0.114015914
YAL033W,-0.27,0.19,0.09,-0.2,0.52,-0.4,0.38,-0.82,0.11,-0.46,0.08,-0.37,0.06,-0.13,0.52,0.028745499,0.26,-0.14,0.47,0.84,0.65,-0.75,-0.5,-0.16
YAL034C,-0.46,-0.11,0,-0.03,0.57,-0.36,0.35,-0.92,0.59,-0.49,0.2,-0.28,0.54,-0.16,0.68,-0.002866862,0.22,-0.34,0.41,0.41,0.5,-0.44,-0.51,-0.37
