,,GSM596123,GSM596124,GSM596127,GSM596128,GSM596131,GSM596132,GSM596125,GSM596126,GSM596129,GSM596130,GSM596133,GSM596134
AT1G01060, LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1 - [ AT1G01060 / P: involved in response to salt stress / Publication:501748728 ][ AT1G01060 / P: involved in response to jasmonic acid stimulus / Publication:501748728 ][ AT1G01060 / P: involved in negative regulation of sequence-specific DNA binding transcription factor activity / Publication:501730049 ],6.198071768,6.161459315,6.417725377,5.917035544,4.283977577,6.173266665,6.199441764,5.872134303,6.556881705,6.386121677,8.971091599,4.704448075
AT1G01610, Encodes a protein with glycerol-3-phosphate acyltransferase activity. Involved in cutin assembly. Is functional redundant of GPAT8. - [ AT1G01610 / P: involved in auxin polar transport / Publication:501748728 ][ AT1G01610 / P: involved in very long-chain fatty acid metabolic process / Publication:501748728 ][ AT1G01610 / P: involved in growth / Publication:501748728 ][ AT1G01610 / P: involved in cell tip growth / Publication:501748728 ],8.04942951,8.011699435,7.608456595,7.303184123,6.690740603,7.306027576,8.045069608,8.119762232,7.444187121,7.285692884,7.062239868,6.427834925
AT1G01800,[ AT1G01800 / C: located in plant-type cell wall / Publication:501718077 ][ AT1G01800.1 / P: involved in metabolic process / AnalysisReference:501748310 ][ AT1G01800 / P: involved in cuticle development / Publication:501748728 ][ AT1G01800 / P: involved in response to cold / Publication:501748728 ],8.474023798,8.541133245,8.299991264,8.556670951,7.940054293,8.245405078,8.754524729,8.782297702,8.453379846,8.458899191,8.484431896,8.06923463
AT1G02360,[ AT1G02360.1 / P: involved in carbohydrate metabolic process / AnalysisReference:501748310 ][ AT1G02360 / P: involved in respiratory burst involved in defense response / Publication:501748728 ][ AT1G02360 / P: involved in response to chitin / Publication:501748728 ],3.792649878,4.225382367,4.793460647,4.340857723,3.775939904,3.858857576,3.814753544,4.02636877,4.583172755,4.321583472,3.62303037,3.705948042
AT1G02500, encodes a S-adenosylmethionine synthetase. SAM1 is regulated by protein S-nitrosylation. The covalent binding of nitric oxide (NO) to the Cys114 residue inhibits the enzyme activity. - [ AT1G02500 / P: involved in vacuole organization / Publication:501748728 ][ AT1G02500 / P: involved in vacuole organization / Publication:501748728 ][ AT1G02500 / P: involved in ethylene biosynthetic process / Publication:5699 ][ AT1G02500 / P: involved in gluconeogenesis / Publication:501748728 ],9.923542266,9.86855481,9.986302205,9.707361738,9.448387878,9.882779,10.25849082,10.41697299,10.2204218,10.19033346,10.06310048,10.15417811
AT1G02780,[ AT1G02780 / P: involved in translation / Communication:501714663 ][ AT1G02780 / P: involved in response to cadmium ion / Publication:501748728 ][ AT1G02780 / P: involved in ribosome biogenesis / Communication:501714663 ][ AT1G02780 / P: involved in glycolysis / Publication:501748728 ],11.2772714,11.25414823,11.25739102,11.21660504,10.74556945,10.97812427,11.18945437,11.23664202,11.06299534,11.44744345,10.77714532,10.47254379
AT1G02800, Encodes a protein with similarity to endo-1 4-b-glucanases and is a   member of Glycoside Hydrolase Family 9. CEL2 is induced by nemotodes and is expressed in syncitia induced by  Heterodera schachtii.May be involved in the development and function of syncitia. - [ AT1G02800.1 / F: has catalytic activity / AnalysisReference:501748310 ][ AT1G02800 / F: has hydrolase activity  hydrolyzing O-glycosyl compounds / Communication:501714663 ][ AT1G02800 / P: involved in response to nematode / Publication:501723782 ][ AT1G02800 / P: involved in carpel development / Publication:501748728 ],5.541662891,5.415437022,5.151484778,5.006044754,4.510019789,4.890204306,5.754894423,5.430290948,5.565546939,5.204775787,3.843896798,4.407585592
AT1G03880, Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds. - [ AT1G03880 / P: involved in cellular response to abscisic acid stimulus / Publication:501728826 ][ AT1G03880 / P: involved in regulation of flower development / Publication:501748728 ][ AT1G03880 / P: involved in lipid storage / Publication:501748728 ][ AT1G03880 / P: involved in photomorphogenesis / Publication:501748728 ],3.336114997,3.304499691,4.024842552,3.623122655,3.239593914,3.350773615,3.434847451,3.351517581,3.54920611,3.650588532,3.288562299,3.341280262
AT1G04220, Encodes KCS2  a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids). - [ AT1G04220.1 / C: located in membrane / AnalysisReference:501748310 ][ AT1G04220.1 / P: involved in fatty acid biosynthetic process / AnalysisReference:501748310 ][ AT1G04220 / P: involved in response to UV / Publication:501748728 ][ AT1G04220.1 / F: has transferase activity  transferring acyl groups other than amino-acyl groups / AnalysisReference:501748310 ],3.364818081,3.640489807,4.16766631,4.132876251,4.009948373,4.041085117,4.132839842,3.943169953,4.351199709,3.936802127,7.478730364,6.436922711
AT1G04250, Transcription regulator acting as repressor of auxin-inducible gene expression. Auxin-inducible AUX/IAA gene. Short-lived nuclear protein with four conserved domains. Domain III has homology to beta alpha alpha dimerization and DNA binding domains. Involved in auxin signaling. Auxin induces the degradation of the protein in a dosage-dependent manner in a process mediated by AtRac1. Auxin induced the relocalization of the protein within the nucleus from a diffused nucleoplasmic pattern to a discrete particulated pattern named nuclear protein bodies or NPB in a process also mediated by Rac1. Colocalizes with SCF  CSN and 26S proteasome components. - [ AT1G04250 / P: involved in response to auxin stimulus / Publication:2750 ][ AT1G04250 / P: involved in response to auxin stimulus / Publication:501723420 ][ AT1G04250 / C: colocalizes with proteasome complex / Publication:501716539 ][ AT1G04250 / P: involved in auxin mediated signaling pathway / Publication:501679480 ],7.747769981,7.806583013,7.731451195,7.95535284,7.210270794,8.588133779,7.34506705,7.496770468,7.637398777,7.697020534,6.775119299,5.96625995
AT1G04400, Blue light receptor mediating blue-light regulated cotyledon expansion and flowering time. Positive regulator of the flowering-time gene CONSTANS. This gene possesses a light-induced CNT2 N-terminal homodimerisation domain.Involved in blue-light induced stomatal opening. Involved in triggering chromatin decondensation. An 80-residue motif (NC80) is sufficient to confer CRY2's physiological function.  It is proposed that the PHR domain and the C-terminal tail of the unphosphorylated CRY2 form a \closed\ conformation to suppress the NC80 motif in the absence of light. In response to blue light  the C-terminal tail of CRY2 is phosphorylated and electrostatically repelled from the surface of the PHR domain to form an \open\ conformation  resulting in derepression of the NC80 motif and signal transduction to trigger photomorphogenic responses. Cry2 phosphorylation and degradation both occur in the nucleus. - [ AT1G04400 / P: involved in response to water deprivation / Publication:501717502 ][ AT1G04400 / C: located in nucleus / Publication:1214 ][ AT1G04400 / P: involved in regulation of flower development / Publication:501720688 ][ AT1G04400 / P: involved in chromatin remodeling / Publication:501721286 ],10.15780495,9.98476336,9.999639689,9.8406091,9.71200918,9.44076697,10.41117138,10.30855887,10.28381842,10.29722318,9.757261322,10.06571731
AT1G05530, Encodes a protein with glucosyltransferase activity with high sequence homology to UGT1 (AT1G05560). It belongs to an UGT subfamily that binds UDP-glucose but not UDP-glucuronate  UDP-galactose  or UDP-rhamnose as the glycosyl donor. UGT2 was shown to be able to use abscisic acid as glycosylation substrate in the presence of UDP-glucose. - [ AT1G05530 / F: has UDP-glycosyltransferase activity / Communication:501714663 ][ AT1G05530 / F: has abscisic acid glucosyltransferase activity / Publication:501719533 ][ AT1G05530.1 / F: has transferase activity  transferring hexosyl groups / AnalysisReference:501748310 ],2.980014068,3.123703524,3.499590328,3.464372892,3.290075977,3.324891302,3.254717029,2.990498771,3.62470529,3.484248246,3.348540443,3.319309896
